S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
277154.0	6.0	20.0	78179.0	3.6081023546475966e-06	262966.0	0.0	0.0	92384.0	0.0	213215.0	0.0	0.0	142131.0	0.0
277130.0	30.0	20.0	78179.0	0.0	262966.0	0.0	0.0	92379.0	0.0	213215.0	0.0	0.0	142121.0	0.0
277109.0	45.0	26.0	78179.0	8.327742179764308e-07	262966.0	0.0	0.0	92374.0	0.0	213215.0	0.0	0.0	142108.0	0.0
277062.0	68.0	50.0	78179.0	1.732464213786084e-06	262966.0	0.0	0.0	92361.0	0.0	213215.0	0.0	0.0	142090.0	0.0
276939.0	170.0	71.0	78179.0	1.0680137065827635e-06	262966.0	0.0	0.0	92337.0	0.0	213215.0	0.0	0.0	142033.0	0.0
276763.0	299.0	118.0	78179.0	1.4391558291598325e-06	262966.0	0.0	0.0	92293.0	0.0	213215.0	0.0	0.0	141958.0	0.0
276190.0	749.0	221.0	78199.0	2.015138440830047e-06	262953.0	0.0	0.0	92162.0	0.0	213205.0	0.0	0.0	141742.0	0.0
275796.0	967.0	397.0	78199.0	1.6074378780972451e-06	262953.0	0.0	0.0	92057.0	0.0	213205.0	0.0	0.0	141585.0	0.0
274785.0	1405.0	964.0	78205.0	2.163139691937197e-06	262949.0	0.0	0.0	91799.0	0.0	213202.0	0.0	0.0	141199.0	0.0
274075.0	1721.0	1334.0	78229.0	1.0776332165942934e-06	262930.0	0.0	0.0	91638.0	0.0	213188.0	0.0	0.0	140932.0	0.0
271664.0	3121.0	2324.0	78250.0	1.601337746465995e-06	262914.0	0.0	0.0	91048.0	0.0	213180.0	0.0	0.0	139999.0	0.0
269344.0	4731.0	2987.0	78297.0	8.825022485660109e-07	262880.0	0.0	0.0	90500.0	0.0	213151.0	0.0	0.0	139122.0	0.0
262570.0	9094.0	5275.0	78420.0	1.7407228981772768e-06	262781.0	0.0	0.0	88886.0	0.0	213085.0	0.0	0.0	136546.0	0.0
255479.0	13865.0	7419.0	78596.0	1.2240168777028196e-06	262649.0	0.0	0.0	87178.0	0.0	212984.0	0.0	0.0	133920.0	0.0
241582.0	20988.0	13620.0	79169.0	2.0587495268431944e-06	262227.0	0.0	0.0	84126.0	0.0	212647.0	0.0	0.0	128995.0	0.0
237002.0	18477.0	20317.0	79563.0	1.47263763044407e-06	261938.0	0.0	0.0	83289.0	0.0	212410.0	0.0	0.0	127546.0	0.0
229406.0	12176.0	33203.0	80574.0	1.8244793810144666e-06	261191.0	0.0	0.0	82320.0	0.0	211791.0	0.0	0.0	125516.0	0.0
216579.0	20423.0	37073.0	81284.0	5.704156110177687e-07	260666.0	0.0	0.0	79703.0	0.0	211372.0	0.0	0.0	121103.0	0.0
212130.0	17276.0	42258.0	83695.0	8.4737164091691e-07	258866.0	0.0	0.0	80951.0	0.0	209915.0	0.0	0.0	121665.0	0.0
203894.0	12685.0	52765.0	86015.0	1.192270246988193e-06	257141.0	0.0	0.0	81118.0	0.0	208519.0	0.0	0.0	120691.0	0.0
192969.0	19161.0	50440.0	92789.0	4.570879597384843e-07	252104.0	0.0	0.0	85048.0	0.0	204444.0	0.0	0.0	123125.0	0.0
186965.0	16929.0	51585.0	99880.0	8.539502877391767e-07	246897.0	0.0	0.0	90558.0	0.0	200155.0	0.0	0.0	127763.0	0.0
182859.0	10110.0	48613.0	113777.0	1.229002261944296e-06	236625.0	0.0	0.0	103372.0	0.0	191756.0	0.0	0.0	140022.0	0.0
172966.0	13999.0	50037.0	118357.0	6.937271284945289e-07	233276.0	0.0	0.0	105410.0	0.0	189019.0	0.0	0.0	140628.0	0.0
172416.0	10443.0	46547.0	125953.0	5.116225572961043e-07	227660.0	0.0	0.0	112842.0	0.0	184464.0	0.0	0.0	147998.0	0.0
163398.0	9568.0	43613.0	138780.0	1.3882424211259683e-06	218160.0	0.0	0.0	123355.0	0.0	176760.0	0.0	0.0	157265.0	0.0
163312.0	9104.0	39714.0	143229.0	8.480099745609836e-08	214874.0	0.0	0.0	127783.0	0.0	174160.0	0.0	0.0	161676.0	0.0
162829.0	569.0	40496.0	151465.0	1.3676228473334305e-06	208791.0	0.0	0.0	135898.0	0.0	169218.0	0.0	0.0	169721.0	0.0
159519.0	3793.0	29657.0	162390.0	1.817853227567428e-08	200710.0	0.0	0.0	145929.0	0.0	162633.0	0.0	0.0	179306.0	0.0
159511.0	3318.0	24136.0	168394.0	1.2545593048801805e-07	196287.0	0.0	0.0	151928.0	0.0	159082.0	0.0	0.0	185306.0	0.0
158087.0	1432.0	23340.0	172500.0	8.970796069364667e-07	193264.0	0.0	0.0	155654.0	0.0	156614.0	0.0	0.0	188844.0	0.0
157963.0	1548.0	13455.0	182393.0	3.7640112407208385e-09	185913.0	0.0	0.0	165518.0	0.0	150695.0	0.0	0.0	198685.0	0.0
