S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
277167.0	3.0	10.0	78179.0	-0.1	262966.0	0.0	0.0	92391.0	0.0	213215.0	0.0	0.0	142136.0	0.0
277162.0	8.0	10.0	78179.0	1.8039991052164439e-06	262966.0	0.0	0.0	92388.0	0.0	213215.0	0.0	0.0	142134.0	0.0
277158.0	9.0	13.0	78179.0	1.1101693174734545e-06	262966.0	0.0	0.0	92387.0	0.0	213215.0	0.0	0.0	142133.0	0.0
277146.0	16.0	18.0	78179.0	2.4054710032497913e-06	262966.0	0.0	0.0	92384.0	0.0	213215.0	0.0	0.0	142128.0	0.0
277144.0	14.0	22.0	78179.0	3.280211403064505e-07	262966.0	0.0	0.0	92384.0	0.0	213215.0	0.0	0.0	142127.0	0.0
277141.0	5.0	34.0	78179.0	3.1837690604294226e-07	262966.0	0.0	0.0	92384.0	0.0	213215.0	0.0	0.0	142126.0	0.0
277134.0	10.0	26.0	78189.0	9.71482276554913e-07	262957.0	0.0	0.0	92390.0	0.0	213211.0	0.0	0.0	142133.0	0.0
277125.0	16.0	29.0	78189.0	1.1198730810508143e-06	262957.0	0.0	0.0	92387.0	0.0	213211.0	0.0	0.0	142129.0	0.0
277099.0	35.0	33.0	78192.0	2.84331155247326e-06	262955.0	0.0	0.0	92381.0	0.0	213210.0	0.0	0.0	142120.0	0.0
277063.0	62.0	37.0	78197.0	3.5117391097799887e-06	262953.0	0.0	0.0	92376.0	0.0	213207.0	0.0	0.0	142110.0	0.0
276959.0	140.0	59.0	78201.0	6.364522779208402e-06	262950.0	0.0	0.0	92349.0	0.0	213204.0	0.0	0.0	142063.0	0.0
276826.0	237.0	83.0	78213.0	5.788508444128141e-06	262941.0	0.0	0.0	92330.0	0.0	213197.0	0.0	0.0	142025.0	0.0
276469.0	490.0	185.0	78215.0	6.979913587887719e-06	262939.0	0.0	0.0	92236.0	0.0	213196.0	0.0	0.0	141890.0	0.0
276001.0	825.0	315.0	78218.0	5.383003270692084e-06	262936.0	0.0	0.0	92132.0	0.0	213194.0	0.0	0.0	141711.0	0.0
275602.0	867.0	665.0	78225.0	2.17705241616534e-06	262933.0	0.0	0.0	92039.0	0.0	213190.0	0.0	0.0	141579.0	0.0
274763.0	1238.0	1124.0	78234.0	2.7166732097800287e-06	262927.0	0.0	0.0	91835.0	0.0	213185.0	0.0	0.0	141245.0	0.0
272304.0	3298.0	1497.0	78260.0	6.032296883168378e-06	262910.0	0.0	0.0	91224.0	0.0	213171.0	0.0	0.0	140278.0	0.0
269825.0	4938.0	2300.0	78296.0	3.994537522307132e-06	262884.0	0.0	0.0	90623.0	0.0	213150.0	0.0	0.0	139298.0	0.0
266152.0	6152.0	4655.0	78400.0	2.964636894211198e-06	262811.0	0.0	0.0	89768.0	0.0	213097.0	0.0	0.0	137947.0	0.0
256621.0	13204.0	7001.0	78533.0	5.305009902348405e-06	262709.0	0.0	0.0	87479.0	0.0	213014.0	0.0	0.0	134312.0	0.0
251741.0	14411.0	10317.0	78890.0	1.878937950976127e-06	262448.0	0.0	0.0	86521.0	0.0	212794.0	0.0	0.0	132645.0	0.0
240361.0	16260.0	19380.0	79358.0	2.4430057387578726e-06	262087.0	0.0	0.0	84054.0	0.0	212508.0	0.0	0.0	128567.0	0.0
226860.0	24881.0	23861.0	79757.0	2.494131622898102e-06	261788.0	0.0	0.0	80993.0	0.0	212248.0	0.0	0.0	123672.0	0.0
210712.0	29649.0	34402.0	80596.0	2.227643961703471e-06	261162.0	0.0	0.0	77591.0	0.0	211752.0	0.0	0.0	118057.0	0.0
