S_H1N1,E_H1N1,I_H1N1,R_H1N1,beta_H1N1,S_H3N2,E_H3N2,I_H3N2,R_H3N2,beta_H3N2,S_B,E_B,I_B,R_B,beta_B
277167.0,3.0,10.0,78179.0,-0.0,262966.0,0.0,0.0,92390.0,0.0,213215.0,0.0,0.0,142140.0,0.0
277159.0,11.0,10.0,78179.0,2.8864298110470885e-06,262966.0,0.0,0.0,92388.0,0.0,213215.0,0.0,0.0,142138.0,0.0
277142.0,25.0,13.0,78179.0,4.7184919921639724e-06,262966.0,0.0,0.0,92384.0,0.0,213215.0,0.0,0.0,142132.0,0.0
277100.0,59.0,21.0,78179.0,7.2176109707686755e-06,262966.0,0.0,0.0,92377.0,0.0,213215.0,0.0,0.0,142112.0,0.0
277006.0,136.0,38.0,78179.0,8.930074476821136e-06,262966.0,0.0,0.0,92356.0,0.0,213215.0,0.0,0.0,142074.0,0.0
276913.0,187.0,80.0,78179.0,4.198069429748694e-06,262966.0,0.0,0.0,92341.0,0.0,213215.0,0.0,0.0,142029.0,0.0
276677.0,329.0,164.0,78189.0,5.201098718881231e-06,262959.0,0.0,0.0,92295.0,0.0,213208.0,0.0,0.0,141943.0,0.0
276134.0,779.0,257.0,78189.0,7.651504222319852e-06,262959.0,0.0,0.0,92161.0,0.0,213208.0,0.0,0.0,141722.0,0.0
275737.0,940.0,490.0,78192.0,2.9383219576359106e-06,262956.0,0.0,0.0,92054.0,0.0,213206.0,0.0,0.0,141559.0,0.0
275266.0,868.0,1025.0,78200.0,1.6693387309800382e-06,262950.0,0.0,0.0,91946.0,0.0,213200.0,0.0,0.0,141366.0,0.0
273924.0,1813.0,1405.0,78217.0,3.4869531050537903e-06,262937.0,0.0,0.0,91612.0,0.0,213189.0,0.0,0.0,140839.0,0.0
272712.0,2554.0,1834.0,78259.0,2.4232545681227724e-06,262902.0,0.0,0.0,91324.0,0.0,213167.0,0.0,0.0,140394.0,0.0
268974.0,4950.0,3082.0,78353.0,4.509167426892029e-06,262829.0,0.0,0.0,90465.0,0.0,213111.0,0.0,0.0,139015.0,0.0
266441.0,6271.0,4201.0,78446.0,2.262983843221816e-06,262751.0,0.0,0.0,89901.0,0.0,213063.0,0.0,0.0,138101.0,0.0
260322.0,8652.0,7703.0,78682.0,3.0514740647898488e-06,262571.0,0.0,0.0,88556.0,0.0,212923.0,0.0,0.0,135940.0,0.0
244544.0,21897.0,9693.0,79225.0,6.656358853278238e-06,262162.0,0.0,0.0,85053.0,0.0,212601.0,0.0,0.0,130285.0,0.0
232302.0,28020.0,15415.0,79622.0,3.4186598952067644e-06,261875.0,0.0,0.0,82281.0,0.0,212370.0,0.0,0.0,125774.0,0.0
226063.0,18481.0,30722.0,80093.0,8.983302292407458e-07,261520.0,0.0,0.0,81148.0,0.0,212100.0,0.0,0.0,123716.0,0.0
216476.0,15826.0,41622.0,81435.0,1.0640205798019347e-06,260529.0,0.0,0.0,80007.0,0.0,211302.0,0.0,0.0,121184.0,0.0
203409.0,22654.0,46649.0,82647.0,1.3770933720042735e-06,259647.0,0.0,0.0,77825.0,0.0,210577.0,0.0,0.0,117147.0,0.0
191265.0,25211.0,52498.0,86385.0,1.2094376808238925e-06,256862.0,0.0,0.0,78497.0,0.0,208312.0,0.0,0.0,116068.0,0.0
191265.0,12144.0,63032.0,88918.0,-0.0,254986.0,0.0,0.0,81030.0,0.0,206786.0,0.0,0.0,118601.0,0.0
189070.0,2195.0,69057.0,95037.0,1.6811412043581775e-07,250448.0,0.0,0.0,86590.0,0.0,203064.0,0.0,0.0,123849.0,0.0
176165.0,15100.0,53279.0,110815.0,1.374935469859535e-06,238716.0,0.0,0.0,98954.0,0.0,193484.0,0.0,0.0,134400.0,0.0
175784.0,13286.0,43232.0,123057.0,5.0134917616240075e-08,229643.0,0.0,0.0,111080.0,0.0,186150.0,0.0,0.0,146501.0,0.0
173688.0,2477.0,49898.0,129296.0,2.4184567506613124e-07,225008.0,0.0,0.0,116765.0,0.0,182440.0,0.0,0.0,151887.0,0.0
171212.0,4572.0,40692.0,138883.0,3.5539180081237355e-07,217904.0,0.0,0.0,125696.0,0.0,176727.0,0.0,0.0,160522.0,0.0
165724.0,7964.0,29721.0,151950.0,1.1142054485911692e-06,208231.0,0.0,0.0,137341.0,0.0,168909.0,0.0,0.0,171409.0,0.0
164296.0,6916.0,20053.0,164094.0,4.3343288991384207e-07,199153.0,0.0,0.0,149113.0,0.0,161582.0,0.0,0.0,182964.0,0.0
162094.0,3630.0,25541.0,164094.0,5.318785523856319e-07,199153.0,0.0,0.0,148521.0,0.0,161582.0,0.0,0.0,182077.0,0.0
162087.0,2209.0,24774.0,166289.0,1.743226111833337e-09,197517.0,0.0,0.0,150714.0,0.0,160258.0,0.0,0.0,184270.0,0.0
160201.0,1893.0,14071.0,179194.0,8.3666480935212e-07,188026.0,0.0,0.0,163097.0,0.0,152580.0,0.0,0.0,196432.0,0.0
160200.0,1887.0,13697.0,179575.0,4.557346319218229e-10,187761.0,0.0,0.0,163478.0,0.0,152340.0,0.0,0.0,196812.0,0.0
159477.0,724.0,13487.0,181671.0,3.3614362749378873e-07,186219.0,0.0,0.0,165385.0,0.0,151097.0,0.0,0.0,198626.0,0.0
159471.0,729.0,11012.0,184147.0,3.416672326384375e-09,184399.0,0.0,0.0,167860.0,0.0,149573.0,0.0,0.0,201100.0,0.0
159433.0,44.0,6247.0,189635.0,3.815345506579392e-08,180333.0,0.0,0.0,173338.0,0.0,146265.0,0.0,0.0,206567.0,0.0
159384.0,87.0,4825.0,191063.0,6.371681231809825e-08,179277.0,0.0,0.0,174747.0,0.0,145426.0,0.0,0.0,207973.0,0.0
159253.0,180.0,2661.0,193265.0,3.091283236577702e-07,177667.0,0.0,0.0,176913.0,0.0,144111.0,0.0,0.0,210126.0,0.0
159235.0,149.0,2703.0,193272.0,4.1820375423601194e-08,177662.0,0.0,0.0,176915.0,0.0,144106.0,0.0,0.0,210127.0,0.0
159144.0,109.0,948.0,195158.0,6.031742395656424e-07,176298.0,0.0,0.0,178778.0,0.0,142963.0,0.0,0.0,211980.0,0.0
