S_H1N1,E_H1N1,I_H1N1,R_H1N1,beta_H1N1,S_H3N2,E_H3N2,I_H3N2,R_H3N2,beta_H3N2,S_B,E_B,I_B,R_B,beta_B
277150.0,10.0,20.0,78179.0,-0.0,262966.0,0.0,0.0,92384.0,0.0,213215.0,0.0,0.0,142131.0,0.0
277124.0,36.0,20.0,78179.0,4.691040833706211e-06,262966.0,0.0,0.0,92378.0,0.0,213215.0,0.0,0.0,142120.0,0.0
277099.0,51.0,30.0,78179.0,3.0073487574236403e-06,262966.0,0.0,0.0,92367.0,0.0,213215.0,0.0,0.0,142114.0,0.0
277086.0,38.0,56.0,78179.0,8.378007446888589e-07,262966.0,0.0,0.0,92363.0,0.0,213215.0,0.0,0.0,142107.0,0.0
276978.0,121.0,81.0,78179.0,4.8138600659017446e-06,262966.0,0.0,0.0,92338.0,0.0,213215.0,0.0,0.0,142070.0,0.0
276918.0,168.0,94.0,78179.0,2.3050067974650456e-06,262966.0,0.0,0.0,92322.0,0.0,213215.0,0.0,0.0,142045.0,0.0
276735.0,243.0,182.0,78199.0,3.6334200787558693e-06,262954.0,0.0,0.0,92290.0,0.0,213201.0,0.0,0.0,141997.0,0.0
276543.0,375.0,242.0,78199.0,2.868951409914791e-06,262954.0,0.0,0.0,92236.0,0.0,213201.0,0.0,0.0,141921.0,0.0
276308.0,427.0,415.0,78209.0,2.0493979915202017e-06,262945.0,0.0,0.0,92184.0,0.0,213198.0,0.0,0.0,141843.0,0.0
275453.0,1090.0,581.0,78235.0,5.342474717894372e-06,262925.0,0.0,0.0,91996.0,0.0,213183.0,0.0,0.0,141555.0,0.0
274408.0,1900.0,791.0,78260.0,4.814409622907427e-06,262911.0,0.0,0.0,91773.0,0.0,213164.0,0.0,0.0,141196.0,0.0
273051.0,2402.0,1633.0,78273.0,3.043335917073945e-06,262902.0,0.0,0.0,91433.0,0.0,213158.0,0.0,0.0,140669.0,0.0
269923.0,4485.0,2570.0,78381.0,4.5091400976133686e-06,262819.0,0.0,0.0,90727.0,0.0,213087.0,0.0,0.0,139535.0,0.0
266229.0,6822.0,3867.0,78441.0,3.5881232975094384e-06,262775.0,0.0,0.0,89797.0,0.0,213052.0,0.0,0.0,138102.0,0.0
262383.0,7540.0,6812.0,78624.0,2.1517853544359402e-06,262644.0,0.0,0.0,89018.0,0.0,212937.0,0.0,0.0,136805.0,0.0
258486.0,7743.0,10314.0,78816.0,1.461726945112619e-06,262506.0,0.0,0.0,88225.0,0.0,212821.0,0.0,0.0,135463.0,0.0
249264.0,13119.0,13925.0,79051.0,2.6568703001312704e-06,262333.0,0.0,0.0,86072.0,0.0,212674.0,0.0,0.0,132005.0,0.0
231552.0,26934.0,16967.0,79906.0,4.508312448484283e-06,261692.0,0.0,0.0,82296.0,0.0,212133.0,0.0,0.0,125768.0,0.0
225318.0,23946.0,25144.0,80951.0,1.1003644279898176e-06,260895.0,0.0,0.0,81714.0,0.0,211472.0,0.0,0.0,124255.0,0.0
200899.0,30653.0,41499.0,82308.0,2.9289534414874347e-06,259891.0,0.0,0.0,76765.0,0.0,210655.0,0.0,0.0,115841.0,0.0
195505.0,29813.0,44605.0,85436.0,6.185424775259675e-07,257577.0,0.0,0.0,78414.0,0.0,208769.0,0.0,0.0,116748.0,0.0
187532.0,13367.0,65330.0,89130.0,6.507792852172047e-07,254873.0,0.0,0.0,80003.0,0.0,206568.0,0.0,0.0,117246.0,0.0
187178.0,8327.0,66878.0,92976.0,2.8279073881777734e-08,251989.0,0.0,0.0,83761.0,0.0,204202.0,0.0,0.0,120952.0,0.0
170152.0,17380.0,70954.0,96873.0,1.4102583738723613e-06,249077.0,0.0,0.0,83173.0,0.0,201839.0,0.0,0.0,118075.0,0.0
170148.0,17030.0,62086.0,106095.0,3.7865130872710363e-10,242243.0,0.0,0.0,92393.0,0.0,196310.0,0.0,0.0,127296.0,0.0
168840.0,1312.0,61400.0,123807.0,1.2617230274870413e-07,229162.0,0.0,0.0,109783.0,0.0,185690.0,0.0,0.0,144455.0,0.0
168816.0,1332.0,55170.0,130041.0,2.5768827130287034e-09,224555.0,0.0,0.0,116013.0,0.0,182014.0,0.0,0.0,150679.0,0.0
168137.0,703.0,32059.0,154460.0,1.2596691940653916e-07,206442.0,0.0,0.0,140256.0,0.0,167366.0,0.0,0.0,174809.0,0.0
167215.0,1601.0,26689.0,159854.0,2.0659670285756526e-07,202527.0,0.0,0.0,145393.0,0.0,164193.0,0.0,0.0,179831.0,0.0
160140.0,7997.0,19395.0,167827.0,2.27791144207957e-06,196659.0,0.0,0.0,151558.0,0.0,159416.0,0.0,0.0,184972.0,0.0
160140.0,7075.0,19963.0,168181.0,-0.0,196393.0,0.0,0.0,151912.0,0.0,159202.0,0.0,0.0,185326.0,0.0
156071.0,4069.0,10012.0,185207.0,2.6040219210085124e-06,183852.0,0.0,0.0,167887.0,0.0,148950.0,0.0,0.0,200742.0,0.0
153898.0,6242.0,10008.0,185211.0,1.4108454883158412e-06,183850.0,0.0,0.0,167367.0,0.0,148947.0,0.0,0.0,199873.0,0.0
153378.0,2693.0,12769.0,186519.0,2.6551153056786104e-07,182864.0,0.0,0.0,168538.0,0.0,148192.0,0.0,0.0,200977.0,0.0
152831.0,1067.0,14918.0,186543.0,2.399193459055802e-07,182844.0,0.0,0.0,168427.0,0.0,148178.0,0.0,0.0,200788.0,0.0
152618.0,760.0,14759.0,187222.0,9.45620574116688e-08,182341.0,0.0,0.0,169040.0,0.0,147788.0,0.0,0.0,201368.0,0.0
152514.0,317.0,14384.0,188144.0,4.7407161570885453e-08,181676.0,0.0,0.0,169933.0,0.0,147238.0,0.0,0.0,202244.0,0.0
152509.0,109.0,7522.0,195219.0,4.358541663968366e-09,176409.0,0.0,0.0,177004.0,0.0,142995.0,0.0,0.0,209316.0,0.0
152502.0,12.0,7626.0,195219.0,6.0190187992977206e-09,176409.0,0.0,0.0,177000.0,0.0,142995.0,0.0,0.0,209312.0,0.0
152225.0,284.0,3562.0,199288.0,5.108576146693225e-07,173391.0,0.0,0.0,181000.0,0.0,140536.0,0.0,0.0,213272.0,0.0
