S_H1N1,E_H1N1,I_H1N1,R_H1N1,beta_H1N1,S_H3N2,E_H3N2,I_H3N2,R_H3N2,beta_H3N2,S_B,E_B,I_B,R_B,beta_B
311978.0,12.0,10.0,88000.0,-0.0,296000.0,0.0,0.0,103994.0,,240000.0,0.0,0.0,159990.0,
311972.0,18.0,10.0,88000.0,1.923249522393035e-06,296000.0,0.0,0.0,103991.0,,240000.0,0.0,0.0,159988.0,
311971.0,7.0,22.0,88000.0,1.4570118842631352e-07,296000.0,0.0,0.0,103991.0,,240000.0,0.0,0.0,159988.0,
311957.0,15.0,28.0,88000.0,1.6027849992146354e-06,296000.0,0.0,0.0,103989.0,,240000.0,0.0,0.0,159982.0,
311947.0,24.0,29.0,88000.0,1.1054043994874018e-06,296000.0,0.0,0.0,103986.0,,240000.0,0.0,0.0,159977.0,
311937.0,20.0,43.0,88000.0,7.455291919037617e-07,296000.0,0.0,0.0,103982.0,,240000.0,0.0,0.0,159973.0,
311925.0,22.0,43.0,88010.0,8.946694475975329e-07,295993.0,0.0,0.0,103987.0,,239994.0,0.0,0.0,159978.0,
311879.0,58.0,53.0,88010.0,2.782888646885128e-06,295993.0,0.0,0.0,103973.0,,239994.0,0.0,0.0,159961.0,
311849.0,76.0,53.0,88022.0,1.815101975151617e-06,295984.0,0.0,0.0,103978.0,,239988.0,0.0,0.0,159963.0,
311792.0,87.0,93.0,88028.0,1.9657439119876445e-06,295981.0,0.0,0.0,103973.0,,239984.0,0.0,0.0,159948.0,
311580.0,269.0,122.0,88029.0,5.577074645461156e-06,295980.0,0.0,0.0,103924.0,,239983.0,0.0,0.0,159863.0,
311560.0,232.0,165.0,88043.0,3.890490474134074e-07,295968.0,0.0,0.0,103936.0,,239975.0,0.0,0.0,159867.0,
311314.0,266.0,367.0,88053.0,2.153130689658788e-06,295961.0,0.0,0.0,103877.0,,239970.0,0.0,0.0,159790.0,
311013.0,547.0,377.0,88063.0,2.5671225577826664e-06,295955.0,0.0,0.0,103800.0,,239964.0,0.0,0.0,159672.0,
310523.0,791.0,611.0,88075.0,2.5826234882870355e-06,295948.0,0.0,0.0,103706.0,,239957.0,0.0,0.0,159499.0,
309943.0,1070.0,866.0,88121.0,2.160868154562488e-06,295916.0,0.0,0.0,103601.0,,239928.0,0.0,0.0,159303.0,
308886.0,1637.0,1326.0,88151.0,2.5806745476023804e-06,295893.0,0.0,0.0,103323.0,,239908.0,0.0,0.0,158930.0,
308209.0,1734.0,1849.0,88208.0,1.1879726469596347e-06,295847.0,0.0,0.0,103195.0,,239872.0,0.0,0.0,158705.0,
304864.0,4022.0,2694.0,88420.0,4.072793464968746e-06,295685.0,0.0,0.0,102556.0,,239746.0,0.0,0.0,157536.0,
303292.0,4917.0,3351.0,88440.0,1.5467394372543953e-06,295667.0,0.0,0.0,102200.0,,239736.0,0.0,0.0,156904.0,
296658.0,8206.0,6450.0,88686.0,3.4670466725419362e-06,295490.0,0.0,0.0,100718.0,,239577.0,0.0,0.0,154493.0,
289240.0,14052.0,7721.0,88987.0,3.321658064954437e-06,295276.0,0.0,0.0,99154.0,,239404.0,0.0,0.0,151825.0,
286787.0,9871.0,13865.0,89477.0,6.169048908110345e-07,294892.0,0.0,0.0,98973.0,,239099.0,0.0,0.0,151349.0,
264753.0,24487.0,20703.0,90057.0,4.019936316068173e-06,294463.0,0.0,0.0,93791.0,,238761.0,0.0,0.0,143073.0,
262698.0,24089.0,22099.0,91114.0,3.5398302636609136e-07,293714.0,0.0,0.0,94313.0,,238107.0,0.0,0.0,143319.0,
257219.0,7534.0,43456.0,91791.0,4.901720081157412e-07,293222.0,0.0,0.0,93593.0,,237712.0,0.0,0.0,141820.0,
235838.0,26860.0,42166.0,95136.0,2.1500661700486915e-06,290728.0,0.0,0.0,91349.0,,235748.0,0.0,0.0,136629.0,
210724.0,46495.0,46073.0,96708.0,2.586755591445046e-06,289532.0,0.0,0.0,86554.0,,234828.0,0.0,0.0,128142.0,
183752.0,52086.0,60820.0,103342.0,2.4134297418640217e-06,284626.0,0.0,0.0,86064.0,,230851.0,0.0,0.0,123980.0,
181940.0,28784.0,78516.0,110760.0,1.2684455716977434e-07,279073.0,0.0,0.0,93018.0,,226402.0,0.0,0.0,130681.0,
130195.0,53557.0,103035.0,113213.0,3.857352337471001e-06,277291.0,0.0,0.0,82078.0,,224915.0,0.0,0.0,112347.0,
129511.0,52429.0,82813.0,135247.0,6.377506754168223e-08,261019.0,0.0,0.0,103942.0,,211737.0,0.0,0.0,134105.0,
53872.0,76323.0,132503.0,137302.0,1.059636643359276e-05,259499.0,0.0,0.0,86285.0,,210493.0,0.0,0.0,105836.0,
53009.0,76502.0,127708.0,142781.0,1.2748030112788727e-07,255417.0,0.0,0.0,91559.0,,207190.0,0.0,0.0,110961.0,
23559.0,30313.0,181966.0,164162.0,6.869706748948781e-06,239625.0,0.0,0.0,105168.0,,194345.0,0.0,0.0,120506.0,
23169.0,29840.0,157715.0,189276.0,1.0672946124622269e-07,220878.0,0.0,0.0,130175.0,,179290.0,0.0,0.0,145462.0,
17631.0,5928.0,160193.0,216248.0,1.960796266447617e-06,201030.0,0.0,0.0,155751.0,,163114.0,0.0,0.0,170210.0,
9174.0,13995.0,158771.0,218060.0,5.806125442981729e-06,199682.0,0.0,0.0,155363.0,,162019.0,0.0,0.0,168745.0,
7812.0,9819.0,112564.0,269805.0,1.5488713817750431e-06,161330.0,0.0,0.0,206735.0,,131061.0,0.0,0.0,219959.0,
5356.0,3818.0,120337.0,270489.0,3.8105583285297437e-06,160816.0,0.0,0.0,206774.0,,130653.0,0.0,0.0,219624.0,
5047.0,2765.0,46060.0,346128.0,1.329233386798054e-06,104889.0,0.0,0.0,282338.0,,85338.0,0.0,0.0,295136.0,
4882.0,474.0,47653.0,346991.0,7.092444111518909e-07,104231.0,0.0,0.0,283159.0,,84829.0,0.0,0.0,295933.0,
4407.0,640.0,18512.0,376441.0,5.822335370832017e-06,82553.0,0.0,0.0,312483.0,,67215.0,0.0,0.0,325195.0,
4369.0,513.0,18287.0,376831.0,4.7561888123349706e-07,82270.0,0.0,0.0,312861.0,,66983.0,0.0,0.0,325569.0,
4348.0,59.0,13224.0,382369.0,3.652303998584158e-07,78128.0,0.0,0.0,318393.0,,63669.0,0.0,0.0,331100.0,
4338.0,31.0,4805.0,390826.0,4.797522942954094e-07,71871.0,0.0,0.0,326848.0,,58489.0,0.0,0.0,339551.0,
4329.0,19.0,3464.0,392188.0,6.001738103354732e-07,70882.0,0.0,0.0,328208.0,,57658.0,0.0,0.0,340908.0,
4326.0,12.0,1018.0,394644.0,6.812193280997523e-07,69071.0,0.0,0.0,330664.0,,56221.0,0.0,0.0,343364.0,
4297.0,32.0,718.0,394953.0,9.399574620629927e-06,68837.0,0.0,0.0,330962.0,,56039.0,0.0,0.0,343660.0,
4297.0,29.0,556.0,395118.0,-0.0,68714.0,0.0,0.0,331127.0,,55940.0,0.0,0.0,343825.0,
