rmse_I,rmse_Beta,time_predict,7,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
56359.990616266274,4.1353748247629494e-07,0.0,24,157884.0,85174.46333348054,32,44
51864.03368767885,4.4553820852227746e-07,0.0,24,166913.0,83769.38711357073,32,45
64583.678228628814,5.679512029556419e-07,0.0,12,110048.0,128112.13568471404,20,35
55194.029599861955,5.655255660795376e-07,0.0,14,210339.0,157638.48167223154,22,26
68372.26056292618,5.255731025066381e-07,0.0,14,204098.0,133342.57356776498,22,32
53902.93956956532,5.053035377947213e-07,0.0,20,127710.0,100573.07777086439,28,38
47879.9848723293,5.03249866875931e-07,0.0,18,131417.0,103182.9927752621,26,36
59706.76708667807,5.931471574073431e-07,0.0,15,185717.0,136489.01372638138,23,29
57723.22200400082,5.014160870132426e-07,0.0,19,167525.0,106048.07741039334,27,36
58588.472167445216,5.574064095284098e-07,0.0,15,161808.0,128986.19152802494,23,31
53101.99723301056,4.741121722939536e-07,0.0,22,118719.0,145113.75544214438,30,32
72469.91786050855,4.605562767469948e-07,0.0,18,193956.0,127247.30987159278,26,35
64548.985907654096,4.449162008063002e-07,0.0,18,233740.0,155441.34663981586,26,30
58643.09241800464,5.250084754659079e-07,0.0,14,172521.0,153961.13765220513,22,30
59675.68024437357,4.792704671227389e-07,0.0,16,197553.0,149563.2434313555,24,31
48167.413759165705,3.9459041517715605e-07,0.0,23,133304.0,90894.25425356279,31,42
60310.73852073731,3.8277469439863563e-07,0.0,28,205971.0,104373.16645405987,36,41
68200.96750414341,5.627698603331062e-07,0.0,14,164597.0,126855.94631983183,22,35
53983.09583053579,6.034129949199702e-07,0.0,15,168489.0,167804.47829705424,23,26
55700.08317745475,5.989516234572695e-07,0.0,18,177154.0,161776.74872854183,26,28
46470.46839651136,4.7330559010648214e-07,0.0,22,97804.0,100546.14312961002,30,38
53023.97077755602,5.695348210053745e-07,0.0,18,120783.0,130400.92845531757,26,30
49316.74254404734,5.954441143501278e-07,0.0,16,150754.0,141838.6907565496,24,28
52110.91828919413,4.696985987434435e-07,0.0,18,127680.0,99152.16430137731,26,40
56422.534717278046,5.373119650795396e-07,0.0,16,188063.0,142186.18608663641,24,27
59410.73083853877,4.870726596506125e-07,0.0,23,111519.0,129597.83498321258,31,35
57226.95720885074,4.4787203116475723e-07,0.0,18,146589.0,115384.0222648555,26,38
58626.950507563466,4.508091301766699e-07,0.0,18,167683.0,125081.57608603386,26,34
71027.40182984083,5.327514881114585e-07,0.0,13,182737.0,141311.52827103224,21,33
58166.85015233655,4.899969458175312e-07,0.0,16,209340.0,166362.5843560301,24,27
47130.20077742237,4.0329716181335623e-07,0.0,29,131495.0,88064.6241121517,37,47
51248.05247276485,4.338072131958051e-07,0.0,21,136402.0,114735.41668242814,29,36
61751.11924472342,5.428351634132424e-07,0.0,13,161113.0,132253.1977710257,21,33
66106.40259704483,6.042642787185486e-07,0.0,13,96249.0,143419.75837356842,21,31
55522.867910264,5.607000731095209e-07,0.008016347885131836,14,211394.0,166603.35256494014,22,25
50253.43071785238,5.448555677771e-07,0.0,22,125431.0,97570.11819941507,30,39
62483.003433022095,5.423522352087497e-07,0.0,15,127201.0,107486.90278882015,23,36
55883.994163887575,6.140918324562116e-07,0.0010170936584472656,17,167500.0,136628.49226106383,25,29
53757.10338858955,5.315731320712487e-07,0.0,18,150875.0,116547.20501075737,26,33
60329.36103787659,5.541433828815857e-07,0.0,16,181142.0,125229.2413666623,24,32
63313.581053520335,5.34774285741898e-07,0.0,17,182040.0,132225.84014054007,25,35
55807.44619943848,5.242676169472062e-07,0.0,20,211000.0,141888.71619908855,28,33
65965.03082505667,4.489891824942066e-07,0.0,18,208631.0,129174.14964220034,26,35
58902.14494760039,5.381017133334933e-07,0.0,16,210332.0,173132.69629230932,24,27
76992.6059256056,4.771700510878233e-07,0.0,15,235093.0,149400.4716136278,23,30
51639.64035506761,4.229451686755232e-07,0.0,27,117029.0,112879.20923852084,35,40
61245.433289710505,5.71249068957648e-07,0.0,14,126265.0,135702.38886039823,22,34
63450.036864759466,5.589829652921169e-07,0.0,13,199206.0,147446.44411999793,21,28
70174.63763276505,5.874926963910402e-07,0.0,14,148240.0,140935.59520603047,22,31
40182.859152545345,4.5068323364426907e-07,0.008035898208618164,24,112286.0,93446.65708743682,32,39
51926.9000150259,5.502107524798032e-07,0.008047342300415039,16,98202.0,104976.46135531212,24,38
46897.15270910816,6.076382273563971e-07,0.0020177364349365234,16,171099.0,151924.96579288552,24,27
50040.41040304144,6.050069186258188e-07,0.0,16,159763.0,136494.42247854982,24,29
67636.37654754567,5.100238340856608e-07,0.0,17,196511.0,111829.04367099906,25,34
68099.81738782173,5.035213822370416e-07,0.0,19,167770.0,140385.90845858745,27,33
43884.141656892294,4.7130986144502516e-07,0.0,16,142359.0,141196.41944731493,24,31
60638.818596375575,5.022383011700985e-07,0.0,17,195738.0,153091.81065563325,25,30
81035.90018447,5.081316669115782e-07,0.0,11,153508.0,143177.16133465135,19,37
63774.94360445381,4.824573828222973e-07,0.0,17,218881.0,160513.50441998482,25,28
43801.31434198817,3.4591837510162765e-07,0.0,34,110461.0,50956.3919263794,42,63
50711.32584286583,4.2841867417542447e-07,0.0,21,145097.0,105496.8202989655,29,39
61463.91740175466,5.195546689782548e-07,0.0,16,196252.0,136469.1157134843,24,31
57121.04020942569,6.054484842113006e-07,0.0,13,109207.0,149290.0927040413,21,29
91140.46437131744,5.702347217618732e-07,0.0,13,226708.0,131305.21037207523,21,34
41525.07044701995,5.259960119842121e-07,0.0,20,122444.0,110054.85338872933,28,35
54031.35696790523,5.367954059522807e-07,0.0,16,150200.0,112231.97435243941,24,34
58586.05988450371,5.944148951323852e-07,0.0,15,135750.0,128902.38844819678,23,31
53111.3062832983,5.685551349144469e-07,0.0,19,152495.0,115112.13725243817,27,34
60456.39718189225,5.362869412358309e-07,0.0,16,176585.0,125120.07584092589,24,31
56949.94778401051,4.5423218631837634e-07,0.0,18,168950.0,130981.16929093745,26,34
54544.24970906545,4.568975937993368e-07,0.0,16,146709.0,132484.23487052103,24,34
61670.112473041576,5.52708050314702e-07,0.0,17,241259.0,161100.14437638267,25,29
69016.98894188077,5.13955330956837e-07,0.0,14,262210.0,164597.19159524923,22,28
58643.06169268879,4.996642555070613e-07,0.0,17,200640.0,170027.08952452824,25,27
51354.56069113493,4.478390463029556e-07,0.0,21,94321.0,100910.32102987562,29,41
44745.67430035567,4.230187520108146e-07,0.0,22,128169.0,114119.10522347293,30,37
53004.82752227547,5.411098800845218e-07,0.0,18,153827.0,156918.56681637946,26,28
66246.15926974744,5.676698075562542e-07,0.0,14,227940.0,151394.79230877748,22,28
55916.88365452663,5.538928603760521e-07,0.0,13,186313.0,152418.26322164014,21,27
38476.777778464595,5.290271681261135e-07,0.0,23,108501.0,103504.42611189991,31,38
54987.905607323446,5.143998998768716e-07,0.0,19,129035.0,96181.48993510054,27,39
55548.69548275309,5.450241939310085e-07,0.0,17,162378.0,129762.20157888994,25,30
57943.81350163064,5.209558339249871e-07,0.0,16,150760.0,109175.87026033599,24,36
63911.90515274589,5.079393825404104e-07,0.0,15,215993.0,119177.27146356186,23,31
40507.88368718761,5.561443013858701e-07,0.0,23,142269.0,156119.73701272506,31,31
46367.262370747965,4.401548253406779e-07,0.0,22,131982.0,139314.94181363468,30,34
55195.46774058143,4.725742648710285e-07,0.0,17,190562.0,147781.10671014275,25,31
53946.35520774723,5.142304401188902e-07,0.0,15,201859.0,168484.52309504236,23,27
53359.96821966186,5.033387431204088e-07,0.0,16,213427.0,164493.31707318343,24,27
49269.49846905633,4.3793454766946105e-07,0.0,26,139162.0,106973.8816491365,34,39
51212.94407353132,4.833297212301736e-07,0.0,24,172901.0,119539.49811667502,32,36
