rmse_I,rmse_Beta,time_predict,7,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
68853.0889377626,6.41558768262139e-07,0.0069942474365234375,24,157884.0,151711.17701528608,32,41
50290.210917981516,4.295247437088246e-07,0.0,24,166913.0,71430.05289767965,32,45
66856.41422106574,6.199260934333407e-07,0.0,12,110048.0,140978.0312507969,20,34
53447.229295861376,9.378327253335173e-07,0.0070002079010009766,14,210339.0,221211.1538699716,22,24
69024.98671468612,5.64243922597731e-07,0.0,14,204098.0,144146.89950637546,22,32
63440.42973914737,7.372163413089973e-07,0.0,20,127710.0,148789.09251180006,28,35
52291.65431882191,6.628248780373381e-07,0.0,18,131417.0,138597.81190776904,26,34
58403.24937568457,5.275112654200441e-07,0.0,15,185717.0,122356.47432740901,23,29
61183.02211749759,6.135422222190372e-07,0.0,19,167525.0,133344.19542758723,27,34
60101.076339020845,6.873954813809001e-07,0.0,15,161808.0,153832.4681015833,23,29
36562.84642720216,3.356590132407093e-07,0.0,22,118719.0,102236.13595512338,30,29
79042.14867980164,5.908498742752662e-07,0.0,18,193956.0,164666.36304105798,26,33
65247.001570831344,4.991605989908808e-07,0.0,18,233740.0,170656.37820229388,26,30
60088.70019742832,6.202030938231656e-07,0.0,14,172521.0,179604.0147323144,22,28
58843.531654367725,4.2599310515492095e-07,0.006983280181884766,16,197553.0,133509.9944348134,24,31
57467.899255175944,6.392962732788231e-07,0.0,23,133304.0,157437.08746548148,31,39
63456.05170963971,4.3121481096839687e-07,0.0,28,205971.0,119591.11541225838,36,41
68053.7576548005,5.587626221531625e-07,0.0,14,164597.0,125628.76754329045,22,36
53584.53995641372,5.743568370525248e-07,0.0,15,168489.0,161804.54469534464,23,26
41757.372790890244,3.445291805442659e-07,0.0,18,177154.0,112560.0,26,18
60032.39140217102,7.556515625480786e-07,0.0,22,97804.0,157250.46092815124,30,36
52743.76562541733,5.640309092548916e-07,0.0,18,120783.0,129229.73810549185,26,30
43238.681479436396,4.3251377343389864e-07,0.0,16,150754.0,104910.00819572837,24,29
40389.96336673832,3.216192324476843e-07,0.0,18,127680.0,48330.02421142509,26,43
58587.064399346455,7.079104685056992e-07,0.0,16,188063.0,171287.8401141498,24,27
18678.189816586408,3.0965290357219184e-07,0.006784200668334961,23,111519.0,77428.83333333333,31,24
63041.288528256504,5.931291544027683e-07,0.0,18,146589.0,159936.31040764818,26,35
63932.51939518133,5.626379309410389e-07,0.0,18,167683.0,161005.44069319344,26,33
67775.83641534475,4.603029023743528e-07,0.0,13,182737.0,114350.3736308271,21,36
