rmse_I,rmse_Beta,time_predict,7,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
72772.20986973045,1.0338234232359297e-06,0.0,24,157884.0,204848.7736909023,32,38
56137.97677824912,1.038226695123301e-06,0.0,24,166913.0,211569.3034004054,32,38
77563.72531115173,1.8967988460865194e-06,0.0,12,110048.0,282769.6774750445,20,24
47878.593506902405,2.2057595250447963e-06,0.0,14,210339.0,305825.30737568473,22,21
55569.96049235908,2.0462986846600315e-06,0.0,14,204098.0,296100.6549356285,22,24
69531.719553048,1.4162019600062382e-06,0.0035254955291748047,20,127710.0,223005.48686792928,28,32
58098.260215837894,1.5165401775173611e-06,0.008035421371459961,18,131417.0,233390.84063179384,26,29
55917.6071726571,1.953174774594302e-06,0.00802159309387207,15,185717.0,264487.7223323514,23,24
59917.09156841936,1.613688304978016e-06,0.008061408996582031,19,167525.0,241272.3388036265,27,30
54779.293170205165,1.944427273211381e-06,0.0,15,161808.0,263251.92864764686,23,25
73544.94122226212,1.2946057236477549e-06,0.0,22,118719.0,266121.17857937707,30,30
83513.46857084907,1.195479757692304e-06,0.0,18,193956.0,252770.60693398956,26,30
57977.58123375014,1.3940748605681956e-06,0.002020597457885742,18,233740.0,284381.7234948561,26,27
63849.347912786536,2.2422007085334795e-06,0.002020597457885742,14,172521.0,331866.5577300307,22,22
54318.45387484164,1.8583327279532692e-06,0.0020301342010498047,16,197553.0,314266.02351825754,24,25
60769.14085815107,1.0418641884725271e-06,0.0,23,133304.0,212573.52180975623,31,36
70399.4456093639,1.1177345245773677e-06,0.0,28,205971.0,221808.10643279727,36,39
66989.58163973952,1.741602018629764e-06,0.0,14,164597.0,275217.4178685829,22,26
58141.13247068104,2.1961845868697428e-06,0.0,15,168489.0,306907.25327673164,23,22
60399.32385342644,2.011506203556022e-06,0.0,18,177154.0,292885.5995281657,26,25
66340.516120475,1.1326146301587046e-06,0.0,22,97804.0,198574.25767275927,30,34
66623.88424331941,1.4117763100324714e-06,0.0,18,120783.0,230628.82901722527,26,27
57846.9152400983,1.9966629776455976e-06,0.0,16,150754.0,268455.4112148412,24,24
63041.10303409606,1.6731687822223167e-06,0.0,18,127680.0,247154.98307637247,26,30
55407.4202661891,1.8632918690868908e-06,0.0,16,188063.0,264160.79378829856,24,24
83511.20625490176,1.1828553371287969e-06,0.0,23,111519.0,239142.93723894004,31,32
68417.48577287632,1.1964676773024054e-06,0.0,18,146589.0,250894.7865674569,26,31
68466.79836135331,1.5864305915768556e-06,0.0,18,167683.0,292054.92116945446,26,28
64356.9534142125,1.9246757410451117e-06,0.0,13,182737.0,314896.3725078067,21,24
51587.33857069074,1.9132537540737483e-06,0.0,16,209340.0,318941.0696324558,24,23
65735.99495417056,9.228229298987003e-07,0.0,29,131495.0,190530.4084449015,37,43
64976.26802607942,1.2260188835595101e-06,0.0,21,136402.0,235651.23628359247,29,32
54886.29799620862,1.9419003964137508e-06,0.0,13,161113.0,289622.0948122051,21,24
84607.39596880782,2.1127416315312354e-06,0.0,13,96249.0,296165.4777914319,21,23
52401.67751301536,2.1831416961686967e-06,0.0,14,211394.0,307143.395400304,22,21
59085.842770364055,1.0511233310050483e-06,0.0,22,125431.0,188908.5449955865,30,35
75197.81773065637,1.4790398818810363e-06,0.0,15,127201.0,228233.8818060554,23,28
57795.916122191695,1.8380075236943058e-06,0.0,17,167500.0,258898.86267344747,25,25
61986.76624896503,1.8283678399919288e-06,0.0,18,150875.0,256787.7823202209,26,28
54580.33984783432,1.8728492180548648e-06,0.0,16,181142.0,260843.83540614197,24,26
64251.09354973976,1.3253810343029946e-06,0.0,17,182040.0,271368.31878637365,25,28
56055.17636878607,1.2017212630036967e-06,0.0,20,211000.0,260313.67427502226,28,29
57327.90718972564,1.2155553905171162e-06,0.0,18,208631.0,258150.03659466072,26,29
56219.9056237004,1.9333180195009573e-06,0.0,16,210332.0,322151.216037497,24,23
60082.35868881259,1.776799277330834e-06,0.0,15,235093.0,309260.3869433085,23,24
75511.58339990061,1.3002864033416876e-06,0.0,27,117029.0,244285.5354487919,35,36
67750.8789302344,1.815270971787198e-06,0.0,14,126265.0,279396.9721713319,22,25
54701.87587486664,2.3413568162720888e-06,0.0,13,199206.0,309915.66539412027,21,22
78200.86426310774,2.1574965076832496e-06,0.0,14,148240.0,297750.86092318234,22,24
62299.10654992916,1.1211355015672445e-06,0.0,24,112286.0,200999.84096663797,32,36
67409.91418136054,1.4166950896713052e-06,0.0,16,98202.0,222006.5918460002,24,29
53605.67093160392,2.0481121679433293e-06,0.0,16,171099.0,272299.7623662307,24,24
52038.554687377466,1.827616691722966e-06,0.0,16,159763.0,260573.73442954954,24,25
59917.02638947638,1.7057154845347898e-06,0.0,17,196511.0,248063.36359808405,25,28
76801.27703997627,1.2751849271647076e-06,0.0,19,167770.0,262836.59247701685,27,29
55529.0740521736,1.3004377291252728e-06,0.0,16,142359.0,271914.5855349074,24,26
61221.48888565887,1.4468000479121864e-06,0.0,17,195738.0,287228.9941097056,25,26
70846.78773541602,1.9878249076400898e-06,0.0,11,153508.0,319246.4164180065,19,24
61002.95703355834,1.6376927687151872e-06,0.0,17,218881.0,303509.7061557033,25,25
69320.43484738824,7.462462407768609e-07,0.0,34,110461.0,152435.73259907414,42,53
55779.54127317537,1.2219231150269918e-06,0.0,21,145097.0,236291.22787770268,29,33
65222.35637170139,1.659674051987094e-06,0.0,16,196252.0,272119.9783421895,24,26
69643.27743626473,2.1580647830974155e-06,0.0,13,109207.0,299059.9695061894,21,22
65353.95401635708,2.150803954564652e-06,0.0,13,226708.0,298174.2476006061,21,24
55661.34330291645,1.2671799123519677e-06,0.0,20,122444.0,216246.82511361243,28,31
55699.14412811397,1.420800075002075e-06,0.0,16,150200.0,228763.3701917402,24,28
64917.60875959263,1.9449131819197326e-06,0.0,15,135750.0,263245.79446702794,23,25
60844.15020735194,1.5389912511808982e-06,0.0,19,152495.0,236358.03071915463,27,29
56616.581995752305,1.974917882110843e-06,0.0,16,176585.0,265913.43248944986,24,25
67140.69067478365,1.229941884723449e-06,0.0,18,168950.0,260737.573193237,26,29
67814.2336095098,1.4275861438779921e-06,0.0,16,146709.0,279532.74795092805,24,27
53985.55095680508,1.6522274883046439e-06,0.0,17,241259.0,303150.10972680344,25,25
51130.478739944294,1.8053459878502743e-06,0.0,14,262210.0,312925.3490991972,22,23
57954.2325165268,1.92091558015378e-06,0.0,17,200640.0,321499.67823903624,25,24
69448.33666913978,9.951372630558588e-07,0.0,21,94321.0,202955.361015882,29,35
61686.053531517646,1.3036286773940317e-06,0.0,22,128169.0,243924.4448187903,30,32
62986.69495203055,1.6461972801772428e-06,0.0,18,153827.0,274333.1072457776,26,26
51063.22801997874,2.3626104986594188e-06,0.0,14,227940.0,311827.2227164877,22,22
48672.41606516394,2.1806098014417444e-06,0.0,13,186313.0,302350.30704517465,21,22
51788.149068963256,1.113727105811246e-06,0.0,23,108501.0,200340.030709715,31,34
71102.41065701924,1.359989521669025e-06,0.0,19,129035.0,213919.16824014456,27,32
62885.76036455294,1.7113773278690256e-06,2.574920654296875e-05,17,162378.0,250646.4966307775,25,26
57991.51802980741,1.7048604354442075e-06,0.0020208358764648438,16,150760.0,247114.74704438433,24,28
55281.061656769736,1.7053977542529803e-06,0.0020265579223632812,15,215993.0,251030.04648893213,23,25
57851.49951081908,1.381666104167759e-06,0.002015829086303711,23,142269.0,261247.87519209593,31,31
60861.944609550876,1.1371715301859044e-06,0.0,22,131982.0,252766.1090062549,30,31
55251.31406825799,1.505529517813254e-06,0.0,17,190562.0,289757.9454289221,25,26
49794.93829611278,1.8142797728426024e-06,0.0,15,201859.0,315320.79851546953,23,23
53265.23800336671,1.9028976084789571e-06,0.0,16,213427.0,319433.32154744386,24,24
70227.7849232859,1.1044262345892004e-06,0.0,26,139162.0,219113.33417051786,34,36
55822.11378890435,1.1485844196539368e-06,0.0,24,172901.0,233705.91025862563,32,34
54064.90657643712,1.888465527162112e-06,0.0,16,204123.0,294544.83303431654,24,23
65017.00890659622,2.3133553979591276e-06,0.0,14,169482.0,312699.64169884473,22,21
60474.93282039923,2.1606459807626736e-06,0.008044242858886719,14,174779.0,301595.95271953783,22,23
63986.96921713708,1.1805902522463131e-06,0.0,20,110524.0,203373.95741880382,28,32
66601.60279317432,1.4970918542248831e-06,0.00803232192993164,20,138385.0,236539.6861892114,28,28
60474.21659249866,2.00475969690542e-06,0.0,15,169428.0,266495.96083825355,23,24
62579.81355613588,1.564360695130468e-06,0.008006572723388672,17,191054.0,238090.32240604196,25,28
54071.240315753355,1.954079044712471e-06,0.0,15,177748.0,263646.7904088701,23,25
59949.12431807528,1.1461978138859036e-06,0.0,22,161508.0,257104.01285795472,30,31
76150.59979786274,1.48583771731368e-06,0.0,16,194770.0,282236.46904505184,24,27
61618.37876945849,1.7996128957482303e-06,0.0,14,153407.0,305369.1778278315,22,25
63337.76329905874,2.402947674789653e-06,0.0,14,156166.0,342134.52211711043,22,21
54016.154309091835,1.8013078810118205e-06,0.0,16,221285.0,311865.6756447713,24,25
69434.9688257704,9.381156722022777e-07,0.0,25,107015.0,188144.6378057304,33,42
67748.16486286477,1.2249052987591303e-06,0.0,25,118380.0,235727.80559201894,33,35
53172.9348782529,1.7770137311993776e-06,0.0,15,171520.0,282404.69060571917,23,24
58179.59025995838,1.9459561015980074e-06,0.0,18,193220.0,300700.38320188335,26,24
67738.67475028297,2.228420730252379e-06,0.0,15,168485.0,309077.2943644244,23,22
62422.54845567296,9.98331043658692e-07,0.0,23,139344.0,174965.56875763397,31,41
57466.25545186277,1.6547876953905728e-06,0.0,15,150322.0,243578.75603242597,23,27
62278.18864878059,1.799696530939809e-06,0.0,16,167623.0,257100.56801790238,24,25
47645.114298227534,1.6978965929078616e-06,0.0,20,168632.0,252840.06768777562,28,29
49982.75736011721,2.0309329275287637e-06,0.0,16,174566.0,270394.4269548148,24,24
75636.58397210442,1.0391326163202946e-06,0.0,24,110733.0,226063.1747695806,32,34
73310.86892018595,1.4443917980080131e-06,0.0,15,182051.0,277412.53985766455,23,28
66191.27092358176,1.4818201093257946e-06,0.0,20,174858.0,285252.10020818596,28,28
75377.17286776622,2.272055756047782e-06,0.0,13,163549.0,333123.27183732425,21,22
60441.33527947902,1.578116051965479e-06,0.0,17,243202.0,294105.44070896506,25,25
56802.35732246969,1.1435881233465751e-06,0.0,26,140128.0,228021.46089803113,34,37
55682.34234037215,1.7411333194396652e-06,0.0,17,195137.0,280894.6326700412,25,25
52570.51781429696,2.4825662127510925e-06,0.0,14,217439.0,317595.1864729474,22,21
62190.53618380936,2.1098706170095037e-06,0.0,14,169806.0,298663.51945071487,22,23
58379.481485315955,1.0721056326845332e-06,0.0,24,172201.0,192854.34285653415,32,36
63319.07063607341,1.4775177516179429e-06,0.0,17,116912.0,228131.75629353663,25,29
54704.945581471235,1.8167087229236731e-06,0.0,16,180875.0,255880.47563685873,24,25
54000.232236958436,1.8878991534507909e-06,0.0,17,174084.0,261708.1675418284,25,27
57101.551373727954,1.7262152783483834e-06,0.0,18,183440.0,253924.43176675,26,27
47219.516603194636,1.30445611886201e-06,0.0,19,204042.0,278920.1485793396,27,28
66589.0385186325,1.2263654969707686e-06,0.0,19,198479.0,260781.07646900538,27,30
49184.65966375295,1.579917132596658e-06,0.0,16,222819.0,300244.69836131117,24,25
52258.14782220773,1.8702870702324932e-06,0.0,15,224480.0,319669.5761714688,23,22
54749.66962646746,1.6828267672970657e-06,0.0,17,190959.0,307615.62902113376,25,25
83377.87632818245,9.020547488506832e-07,0.0,25,114259.0,179404.55262966602,33,44
86920.68714826992,9.974478212870795e-07,0.0,31,108802.0,189097.3694903921,39,51
51029.942924344396,1.8066077791661126e-06,0.0,15,206849.0,284050.2787561579,23,24
60243.39488997158,2.3320528306045095e-06,0.0,11,161857.0,308476.421708352,19,22
59884.559010387406,2.1835064973498683e-06,0.0,15,217476.0,302640.835845956,23,24
73466.90305207112,1.2055607732743701e-06,0.0,20,63898.0,202224.23600841546,28,35
61230.000464205186,1.6797653729268723e-06,0.0,18,114051.0,248020.1849463438,26,28
