rmse_I,rmse_Beta,time_predict,7,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
72409.00652335802,9.668523136268268e-07,0.0,24,157884.0,195072.14978239892,32,38
53599.119509880074,1.943449120581126e-06,0.008022546768188477,24,166913.0,291013.63931359554,32,34
77649.92625976319,1.948748096190844e-06,0.008632421493530273,12,110048.0,286748.9288227961,20,24
54212.992915376024,9.201616320761375e-07,0.002017974853515625,14,210339.0,208346.35500411576,22,25
58248.78025473591,1.770380438932362e-06,0.0020329952239990234,14,204098.0,279284.7995205332,22,25
66996.79452785478,1.008256001893113e-06,0.0,20,127710.0,179632.4841091963,28,34
59164.31478224606,1.7210893476673429e-06,0.0,18,131417.0,247863.28481637305,26,29
60512.25100590489,1.1372740709916982e-06,0.0,15,185717.0,201123.0874453986,23,26
56404.390871430056,3.4377623501329972e-06,0.0,19,167525.0,312359.2114023977,27,27
54113.784724340745,2.176238228807512e-06,0.0,15,161808.0,275920.52022506687,23,24
36872.33051882088,3.364029212898979e-07,0.0,22,118719.0,102735.83986491348,30,29
83391.29461737907,9.041747121694302e-07,0.0,18,193956.0,211789.5366548432,26,31
61039.98428224703,1.139840930986414e-06,0.0,18,233740.0,259970.90827619834,26,27
61355.860109832465,1.0430531439222691e-06,0.008041858673095703,14,172521.0,242458.1905173015,22,26
54572.92598677796,1.483747543767315e-06,0.00801706314086914,16,197553.0,287695.1719708095,24,26
61535.87567522584,1.1856444381877529e-06,0.0,23,133304.0,229344.2429589815,31,35
64345.87200575575,2.2483328286266767e-06,0.0020220279693603516,28,205971.0,306254.1503079898,36,36
72103.01188094019,8.747407957281706e-07,0.0,14,164597.0,175752.2908380832,22,32
54738.42305199568,7.625183462913226e-07,0.0,15,168489.0,183791.640095298,23,25
40973.18922286905,2.697764127613936e-07,0.0,18,177154.0,112560.0,26,18
72154.25881707521,1.7870137183943624e-06,0.010036230087280273,22,97804.0,251621.35029634828,30,32
67051.38332466113,1.496436003025979e-06,0.0,18,120783.0,237772.70984437328,26,27
57949.58696956749,2.0467602083748554e-06,0.0,16,150754.0,271317.7355512546,24,24
62394.88095113095,1.38821655727778e-06,0.002016305923461914,18,127680.0,225487.38787520464,26,31
53290.833890314905,2.9253781984777942e-06,0.0,16,188063.0,305147.10272460885,24,23
72968.186800275,7.563427638187879e-07,0.0,23,111519.0,178665.79414128643,31,34
70451.13781528453,1.942421934973811e-06,0.0,18,146589.0,314304.97604041686,26,28
69758.63383530741,3.6291902999378116e-06,0.0,18,167683.0,376014.75485995435,26,25
68513.77003108739,1.4286589082437386e-06,0.0,13,182737.0,276890.1957026443,21,26
57754.95219975572,5.001955112569315e-07,0.0,16,209340.0,153591.64366632118,24,28
68543.31561851403,1.1852792911950501e-06,0.00801849365234375,29,131495.0,226846.3646193503,37,41
66199.72207062186,1.4980243063592595e-06,0.0,21,136402.0,260682.57609884636,29,31
57756.183778300874,3.124589707424939e-06,0.0,13,161113.0,334944.15250264824,21,22
82722.71288643588,1.771761705688759e-06,0.0020189285278320312,13,96249.0,276348.0349429575,21,24
52908.503312640816,2.652935123135944e-06,0.0,14,211394.0,325630.26889371494,22,21
55710.342217283534,6.985693828203722e-07,0.0,22,125431.0,132896.27885184062,30,38
75004.03870688098,2.579428262762154e-06,0.0,15,127201.0,289490.73077556497,23,25
46894.604361927646,4.4212919823541084e-07,0.0,17,167500.0,88873.2451887999,25,29
62021.18834168105,1.5523386154859379e-06,0.0,18,150875.0,240196.49051496154,26,28
52286.437277963676,2.48236744959697e-06,0.0,16,181142.0,287842.871734478,24,25
66406.97322493966,7.116987526269771e-07,0.0,17,182040.0,174081.99258977053,25,33
49620.03543596155,4.3345010260280683e-07,0.0,20,211000.0,94835.57364595207,28,31
64798.91722298292,7.98935491495799e-07,0.0,18,208631.0,195883.6674578624,26,32
59297.2477699326,1.1479158932515533e-06,0.0,16,210332.0,262108.23060205765,24,25
56820.506025918876,2.1876641733142333e-06,0.008038043975830078,15,235093.0,329632.61272116244,23,23
58947.457881772345,5.791702696266821e-07,0.0020186901092529297,27,117029.0,137792.46863272044,35,40
63471.50127662527,7.252638000061134e-07,0.0,14,126265.0,155421.13063357887,22,33
