rmse_I,rmse_Beta,time_predict,7,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
72848.60676998462,1.0544477963039605e-06,0.0,24,157884.0,207411.50090840488,32,38
54933.3446476445,1.3130187267200474e-06,0.0,24,166913.0,244363.89161200786,32,36
78354.33865363522,2.632474033367491e-06,0.0,12,110048.0,315756.78811364644,20,23
48090.502043246954,2.6181925505038983e-06,0.0,14,210339.0,323693.9205982976,22,21
54319.52393953246,2.217102361483349e-06,0.0,14,204098.0,303234.5762753766,22,24
69478.03122547948,1.3980407884982126e-06,0.0,20,127710.0,221675.22332258802,28,32
57140.764594676286,1.3368162040680328e-06,0.008019447326660156,18,131417.0,218780.6927551481,26,30
55535.39241699429,2.052840165344757e-06,0.010024785995483398,15,185717.0,269099.08125848655,23,24
57854.595564616946,1.97163053263129e-06,0.0,19,167525.0,264127.6231792195,27,29
53611.939716104804,2.629519809125206e-06,0.002004861831665039,15,161808.0,291736.9923064217,23,23
66964.90804720543,8.577169484124535e-07,0.0,22,118719.0,212798.76447920324,30,31
82907.8669157129,1.306566736589333e-06,0.0,18,193956.0,266247.8837935721,26,29
56805.25280694917,1.505464174798821e-06,0.0,18,233740.0,293263.6597511015,26,26
64360.155130366154,2.488000529399548e-06,0.0,14,172521.0,344753.0779986044,22,22
56333.01240325014,2.5506795416401987e-06,0.0,16,197553.0,344727.73787456146,24,24
60734.85986821565,1.0360508019131302e-06,0.0,23,133304.0,211769.62157979532,31,36
68045.96537234819,1.4886214265295178e-06,0.0,28,205971.0,260089.18685436613,36,37
64541.5387115749,2.1990783213701566e-06,0.0,14,164597.0,300009.23899554036,22,25
56841.07308169412,1.8936638193106312e-06,0.0,15,168489.0,290155.9169576365,23,22
59258.53671278025,1.3628672470059671e-06,0.0,18,177154.0,251617.7056368419,26,26
67450.78717947078,1.2163613509465493e-06,0.008020639419555664,22,97804.0,206837.98881231504,30,33
66552.72854960694,1.3987327909467357e-06,0.0,18,120783.0,229442.1477415619,26,27
57384.54707279584,1.7842650560236728e-06,0.002019166946411133,16,150754.0,257230.84048502118,24,25
