rmse_I,rmse_Beta,time_predict,14,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
10703.774965930372,1.9145244643244876e-06,0.0019996166229248047,62,53533.0,16019.88888888889,77,64
12774.307619670337,3.369377352196615e-06,0.003999948501586914,43,66661.0,7226.0,58,43
12582.24995595172,3.2896793822723723e-06,0.003000020980834961,39,67578.0,13305.07548492496,54,41
10029.572296459037,2.3662488729524574e-06,0.004000186920166016,32,51764.0,12994.963425926328,47,34
8796.204794538837,3.5625265188280497e-06,0.005000591278076172,26,55358.0,25026.59088060235,41,28
13392.7916752516,1.4649453182558254e-05,0.0030007362365722656,37,79701.0,6869.542354622623,52,50
9229.596189013306,3.6407910215141514e-06,0.004999399185180664,26,56912.0,3705.1949801491937,41,28
3805.4064806061956,5.228568807258216e-06,0.004999637603759766,42,27217.0,19030.0,57,42
5826.878431211347,2.0712439345417437e-06,0.002998828887939453,36,34570.0,12750.0,51,36
9538.030165164288,2.3904131986174076e-06,0.0029990673065185547,34,57561.0,11621.246810727025,49,36
5882.908899616517,4.015758812094498e-06,0.0029997825622558594,21,32035.0,5375.47636353459,36,23
13553.326333889301,1.953014177760141e-06,0.0030024051666259766,34,79142.0,9536.833333333334,49,35
6274.447201172564,1.4065745562696022e-06,0.0029997825622558594,48,44576.0,13459.242904204286,63,50
8888.205818434504,1.4247107853790019e-06,0.0029985904693603516,48,59391.0,9359.96304840446,63,56
5351.678229986966,4.8431764383744884e-06,0.003998994827270508,69,27273.0,7199.305128495335,84,71
6110.781595136825,3.5303146726018997e-06,0.002996206283569336,53,33946.0,22118.833333333332,68,54
4884.134245264492,2.778127933666484e-06,0.003000497817993164,36,40975.0,27172.0,51,36
13278.564983536931,1.8993860877784008e-06,0.004002809524536133,35,81244.0,6169.0,50,35
5028.129079452987,3.0436705187753987e-06,0.003995656967163086,40,28890.0,5056.494044739649,55,57
10347.771049744468,3.1815990986871102e-06,0.004000186920166016,44,54080.0,3732.666666666667,59,45
8151.814744380094,1.918884296350381e-06,0.003997087478637695,31,74343.0,24545.94103274957,46,49
5024.9488998553925,7.662772923890929e-06,0.003998756408691406,55,39905.0,17502.334913039096,70,58
5057.10876191819,3.486594582901356e-06,0.0060002803802490234,31,21173.0,1413.0741377721815,46,34
3518.397781328302,3.0310910577495917e-06,0.003997325897216797,32,24871.0,20393.666666666668,47,33
2093.869616233702,3.0804738183958673e-06,0.002999544143676758,52,37397.0,27374.37864264052,67,59
6054.857457998142,1.961334324630594e-06,0.004002094268798828,32,59712.0,28138.896897616214,47,50
7311.257576950396,1.981747846631478e-06,0.0039997100830078125,27,51454.0,9493.044319164012,42,33
3380.1137675835253,2.6165689829018716e-06,0.003999233245849609,26,36456.0,18019.27133866784,41,42
11836.646175823733,1.9013760693169206e-06,0.0029997825622558594,27,71090.0,13165.0,42,28
