rmse_I,rmse_Beta,time_predict,14,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
6059.520506515169,2.4386980976674423e-06,0.004996776580810547,62,53533.0,26469.552208249064,77,75
9931.008183195547,3.5227140173235684e-06,0.0019996166229248047,43,66661.0,18437.821300864452,58,67
7239.914835008382,3.6112622481393622e-06,0.0019965171813964844,39,67578.0,30625.670467273583,54,54
4342.576278651769,3.2027039613870976e-06,0.0019998550415039062,32,51764.0,33963.42782078769,47,46
3845.0404633757234,4.724062035171987e-06,0.0019974708557128906,26,55358.0,51116.41562901226,41,35
13290.657391577948,1.4610838023678187e-05,0.002000570297241211,37,79701.0,18634.87344791604,52,64
6588.736284992705,3.726056748720256e-06,0.0019996166229248047,26,56912.0,28727.248092772817,41,51
3738.363290555335,4.893920195899611e-06,0.0019998550415039062,42,27217.0,29806.157809416232,57,54
2824.891245044583,2.6673550611043456e-06,0.0019996166229248047,36,34570.0,28003.96456860257,51,52
4435.025632432338,3.1255265825572884e-06,0.0019996166229248047,34,57561.0,30389.829347280756,49,50
5074.142493817133,3.6203222499739147e-06,0.002001523971557617,21,32035.0,30069.920589907568,36,43
9625.599788934098,2.7784078315266064e-06,0.0019991397857666016,34,79142.0,29194.348088791376,49,52
3715.459778087244,2.220828514586376e-06,0.001999378204345703,48,44576.0,19295.594291443558,63,61
7570.0167355949025,2.359478307493832e-06,0.0019998550415039062,48,59391.0,19107.851342459773,63,68
4237.077280494242,4.741486718623033e-06,0.0020003318786621094,69,27273.0,8307.612628657098,84,80
2452.897004626823,4.041964937439205e-06,0.0030007362365722656,53,33946.0,28175.111838651384,68,61
3771.078434043472,3.556391567226003e-06,0.0019998550415039062,36,40975.0,29393.001537589924,51,45
11006.295080917937,2.7895693369009607e-06,0.0020029544830322266,35,81244.0,26062.63042309227,50,58
4714.122985122222,2.962076687658219e-06,0.0020036697387695312,40,28890.0,20018.672400464173,55,72
8852.031521292227,3.3608155135055765e-06,0.0019969940185546875,44,54080.0,19813.040868662225,59,73
8917.971290076879,2.7721624926189505e-06,0.0019965171813964844,31,74343.0,26993.209061380992,46,52
4008.740307874018,7.478140734111285e-06,0.0019965171813964844,55,39905.0,19794.132357666804,70,63
5441.584051452276,2.8927587742529078e-06,0.0019998550415039062,31,21173.0,15645.752163674828,46,74
5136.502252449494,3.3858394038989554e-06,0.0019996166229248047,32,24871.0,37356.751633132786,47,43
2385.111343044407,3.3705645545298097e-06,0.0019998550415039062,52,37397.0,31887.69106287334,67,61
6758.283730899407,2.9640014322400703e-06,0.002000093460083008,32,59712.0,30157.46549871943,47,52
4921.050675302396,2.8831782545714854e-06,0.0019998550415039062,27,51454.0,33438.22830208984,42,45
5761.313964238353,3.351409894636126e-06,0.0030028820037841797,26,36456.0,39375.769135289636,41,45
5559.995893745888,3.420415648786905e-06,0.0019998550415039062,27,71090.0,41563.16593350514,42,41
