	sp_id	latitude	longitude	size
0	1	53.1941243293697	50.1067053488495	705
1	2	53.1856486125988	50.0891326450026	525
2	3	53.1850390782118	50.0852609047556	862
3	4	53.20219285	50.12636255	893
4	5	53.2020940037339	50.1257393994753	313
5	6	53.2047182468926	50.1278062917063	944
6	7	53.2354279830085	50.2491784127247	995
7	8	53.190007262396	50.127151850384	865
8	9	53.1989574834635	50.1119648233688	525
9	10	53.2020889	50.19672455	384
10	11	53.2127568691627	50.1750556225037	893
11	12	53.2523318099364	50.2506360733466	218
12	13	53.3483555740809	50.20943858229	534
13	14	53.1111378993761	50.0773004596843	340
14	15	53.1168088631682	50.0759355617781	522
15	16	53.1969398196142	50.2138572730432	921
16	17	53.2005152	50.21249395	180
17	18	53.1995102928248	50.1369649629217	485
18	19	53.1995206926082	50.1403537980237	728
19	20	53.1322064552596	50.0982671935201	1000
20	21	53.1211679463096	50.0826433706236	436
21	22	53.1226978989904	50.0907124312425	791
22	23	53.1713563535408	50.1894450190997	925
23	24	53.2131723403483	50.2898529585985	237
24	25	53.2225319307738	50.2734509171197	221
25	26	53.206735132985	50.1422373875115	996
26	27	53.299818264355	50.2837804305235	560
27	28	53.2971279149859	50.2797182281971	466
28	29	53.3040197	50.2712343	915
29	30	53.2093721360271	50.2279243178042	522
30	31	53.2567909203163	50.2072088419709	656
31	32	53.2560713774957	50.2247787468946	59
32	33	53.2806742764837	50.2716067579492	219
33	34	53.2652233659304	50.2257520057353	262
34	35	53.26279275	50.229792	227
35	36	53.2023540254559	50.1920860078623	214
36	37	53.1867699928393	50.1730732217954	467
37	38	53.2474624615954	50.3110712456459	263
38	39	53.2453681220516	50.3397742925503	368
39	40	53.2529269392967	50.3375578319192	767
40	41	53.2061737602972	50.1919077917909	61
41	42	53.2095554010474	50.2174431948281	184
42	43	53.2297361128864	50.1850849235764	946
43	44	53.1112146730261	50.0787945023726	308
44	45	53.235560060131	50.1834588393196	668
45	46	53.1749862805872	50.1704569061322	150
46	47	53.1918628004999	50.1471994336749	757
47	48	53.1807858410405	50.1352436651362	906
48	49	53.1899682846114	50.1956570007306	357
49	50	53.1897595966632	50.2046065274995	271
50	51	53.1855514894159	50.196694685134	417
51	52	53.1890599909405	50.1751989847456	228
52	53	53.1893746653312	50.1829435454645	646
53	54	53.1959109295104	50.2026301933111	766
54	55	53.1937154664629	50.1686113707573	401
55	56	53.2021829306561	50.1853780919224	182
56	57	53.1982284515627	50.1745084489064	716
57	58	53.19761172651	50.1825584740307	151
58	59	53.2312461391898	50.2689133534048	275
59	60	53.2001881946459	50.1500368595874	265
60	61	53.2264473994357	50.294002982494	68
61	62	53.2139234293563	50.1954703807855	73
62	63	53.2637264403137	50.2120891152213	843
