S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
288647.0	356.0	10.0	81516.0	3.4644392631830574e-06	274191.0	0.0	0.0	96245.0	0.0	222317.0	0.0	0.0	148073.0	0.0
288345.0	658.0	10.0	81516.0	0.0	274191.0	0.0	0.0	96165.0	0.0	222317.0	0.0	0.0	147957.0	0.0
287059.0	1588.0	366.0	81516.0	3.3884239672973685e-06	274191.0	0.0	0.0	95826.0	0.0	222317.0	0.0	0.0	147414.0	0.0
287055.0	1290.0	668.0	81516.0	1.5749449003962081e-06	274191.0	0.0	0.0	95825.0	0.0	222317.0	0.0	0.0	147413.0	0.0
287050.0	9.0	1954.0	81516.0	2.292761381483224e-06	274191.0	0.0	0.0	95823.0	0.0	222317.0	0.0	0.0	147410.0	0.0
287050.0	5.0	1958.0	81516.0	7.116881795176498e-09	274191.0	0.0	0.0	95823.0	0.0	222317.0	0.0	0.0	147410.0	0.0
287050.0	0.0	1953.0	81526.0	8.918877723345867e-09	274184.0	0.0	0.0	95833.0	0.0	222308.0	0.0	0.0	147420.0	0.0
287050.0	0.0	1953.0	81526.0	0.0	274184.0	0.0	0.0	95833.0	0.0	222308.0	0.0	0.0	147420.0	0.0
287050.0	0.0	1597.0	81882.0	0.0	273918.0	0.0	0.0	96189.0	0.0	222090.0	0.0	0.0	147776.0	0.0
287050.0	0.0	1295.0	82184.0	0.0	273696.0	0.0	0.0	96491.0	0.0	221904.0	0.0	0.0	148078.0	0.0
287050.0	0.0	9.0	83470.0	0.0	272749.0	0.0	0.0	97777.0	0.0	221161.0	0.0	0.0	149364.0	0.0
287050.0	0.0	5.0	83474.0	0.0	272746.0	0.0	0.0	97781.0	0.0	221158.0	0.0	0.0	149368.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
287050.0	0.0	0.0	83479.0	0.0	272743.0	0.0	0.0	97786.0	0.0	221156.0	0.0	0.0	149373.0	0.0
