S_H1N1,E_H1N1,I_H1N1,R_H1N1,beta_H1N1,S_H3N2,E_H3N2,I_H3N2,R_H3N2,beta_H3N2,S_B,E_B,I_B,R_B,beta_B
155974.0,16.0,10.0,44000.0,-0.0,148000.0,0.0,0.0,51989.0,,120000.0,0.0,0.0,79994.0,
155939.0,51.0,10.0,44000.0,2.244467387888854e-05,148000.0,0.0,0.0,51978.0,,120000.0,0.0,0.0,79980.0,
155903.0,71.0,26.0,44000.0,8.881261968117257e-06,148000.0,0.0,0.0,51966.0,,120000.0,0.0,0.0,79966.0,
155880.0,59.0,61.0,44000.0,2.4188425733119633e-06,148000.0,0.0,0.0,51961.0,,120000.0,0.0,0.0,79958.0,
155809.0,94.0,97.0,44000.0,4.697795139475884e-06,148000.0,0.0,0.0,51947.0,,120000.0,0.0,0.0,79926.0,
155772.0,108.0,120.0,44000.0,1.979388679180683e-06,148000.0,0.0,0.0,51939.0,,120000.0,0.0,0.0,79905.0,
155712.0,97.0,181.0,44010.0,2.128877110994543e-06,147995.0,0.0,0.0,51936.0,,119993.0,0.0,0.0,79900.0,
155659.0,113.0,218.0,44010.0,1.5618709233327072e-06,147995.0,0.0,0.0,51924.0,,119993.0,0.0,0.0,79880.0,
155598.0,114.0,262.0,44026.0,1.4963201807280044e-06,147985.0,0.0,0.0,51929.0,,119980.0,0.0,0.0,79873.0,
155345.0,314.0,280.0,44061.0,5.816546580652281e-06,147961.0,0.0,0.0,51895.0,,119959.0,0.0,0.0,79802.0,
155149.0,449.0,305.0,44097.0,4.141972882968451e-06,147937.0,0.0,0.0,51889.0,,119937.0,0.0,0.0,79755.0,
154928.0,417.0,535.0,44120.0,2.666297326174305e-06,147919.0,0.0,0.0,51853.0,,119922.0,0.0,0.0,79693.0,
154660.0,489.0,660.0,44191.0,2.6255050178495156e-06,147862.0,0.0,0.0,51863.0,,119883.0,0.0,0.0,79648.0,
154104.0,824.0,844.0,44228.0,4.274825913096664e-06,147833.0,0.0,0.0,51765.0,,119867.0,0.0,0.0,79451.0,
153820.0,840.0,1052.0,44288.0,1.7550512104167976e-06,147786.0,0.0,0.0,51754.0,,119822.0,0.0,0.0,79387.0,
152901.0,1203.0,1555.0,44341.0,3.865225110142618e-06,147745.0,0.0,0.0,51578.0,,119789.0,0.0,0.0,79081.0,
152615.0,1205.0,1778.0,44402.0,1.0539913713485417e-06,147695.0,0.0,0.0,51563.0,,119751.0,0.0,0.0,79033.0,
151442.0,1459.0,2444.0,44655.0,3.1692060337532925e-06,147511.0,0.0,0.0,51510.0,,119604.0,0.0,0.0,78835.0,
150689.0,1926.0,2534.0,44851.0,1.9719995650811266e-06,147357.0,0.0,0.0,51512.0,,119491.0,0.0,0.0,78724.0,
148733.0,2709.0,3486.0,45072.0,3.772542401843278e-06,147195.0,0.0,0.0,51210.0,,119355.0,0.0,0.0,78198.0,
148491.0,2198.0,3971.0,45340.0,4.104075550359796e-07,146988.0,0.0,0.0,51418.0,,119203.0,0.0,0.0,78369.0,
141958.0,6775.0,5371.0,45896.0,8.568358591743142e-06,146567.0,0.0,0.0,50232.0,,118881.0,0.0,0.0,76300.0,
140568.0,7923.0,5329.0,46180.0,1.8555925246544702e-06,146354.0,0.0,0.0,50141.0,,118721.0,0.0,0.0,76023.0,
132691.0,9267.0,10943.0,47099.0,5.424790604236228e-06,145664.0,0.0,0.0,48996.0,,118161.0,0.0,0.0,73784.0,
126364.0,14204.0,12047.0,47385.0,4.156191590218864e-06,145454.0,0.0,0.0,47606.0,,117984.0,0.0,0.0,71543.0,
124578.0,8113.0,18751.0,48558.0,7.645672063003414e-07,144587.0,0.0,0.0,48306.0,,117262.0,0.0,0.0,72020.0,
106222.0,20142.0,24325.0,49311.0,7.104127149169235e-06,144028.0,0.0,0.0,44270.0,,116816.0,0.0,0.0,65407.0,
101549.0,23029.0,24155.0,51267.0,1.9050794315897706e-06,142595.0,0.0,0.0,45010.0,,115607.0,0.0,0.0,65508.0,
77318.0,28904.0,42269.0,51509.0,7.414276065773636e-06,142413.0,0.0,0.0,38931.0,,115462.0,0.0,0.0,56071.0,
75441.0,26108.0,40409.0,58042.0,6.157135808986693e-07,137622.0,0.0,0.0,44981.0,,111554.0,0.0,0.0,61840.0,
44788.0,32530.0,63250.0,59432.0,1.0820586118317265e-05,136607.0,0.0,0.0,38447.0,,110725.0,0.0,0.0,51010.0,
34979.0,40462.0,57250.0,67309.0,4.8982602287511e-06,130794.0,0.0,0.0,43775.0,,106006.0,0.0,0.0,54959.0,
30970.0,13818.0,81576.0,73636.0,1.5868374615173114e-06,126143.0,0.0,0.0,49024.0,,102206.0,0.0,0.0,59673.0,
30466.0,4513.0,89599.0,75422.0,1.8463410948987474e-07,124830.0,0.0,0.0,50691.0,,101116.0,0.0,0.0,61253.0,
28256.0,2714.0,75252.0,93778.0,1.0393541272483383e-06,111263.0,0.0,0.0,68514.0,,90126.0,0.0,0.0,78749.0,
25545.0,4921.0,71083.0,98451.0,1.4929933110733043e-06,107806.0,0.0,0.0,72490.0,,87308.0,0.0,0.0,82309.0,
23717.0,4539.0,49062.0,122682.0,1.5709819300691075e-06,89896.0,0.0,0.0,96246.0,,72756.0,0.0,0.0,105840.0,
23549.0,1996.0,49896.0,124559.0,1.4297861340198595e-07,88502.0,0.0,0.0,98074.0,,71643.0,0.0,0.0,107642.0,
23446.0,271.0,21071.0,155212.0,2.0848908193079658e-07,65773.0,0.0,0.0,128706.0,,53210.0,0.0,0.0,138254.0,
20741.0,2808.0,11430.0,165021.0,1.1410149836569112e-05,58513.0,0.0,0.0,137823.0,,47329.0,0.0,0.0,146956.0,
20722.0,2724.0,7524.0,169030.0,1.2186335900263127e-07,55582.0,0.0,0.0,141826.0,,44933.0,0.0,0.0,150957.0,
20674.0,67.0,9725.0,169534.0,2.387410587121462e-07,55197.0,0.0,0.0,142318.0,,44635.0,0.0,0.0,151440.0,
16898.0,3824.0,7534.0,171744.0,2.965999435140489e-05,53520.0,0.0,0.0,143563.0,,43285.0,0.0,0.0,152118.0,
16893.0,3781.0,4871.0,174455.0,6.07638233778918e-08,51506.0,0.0,0.0,146272.0,,41687.0,0.0,0.0,154828.0,
16021.0,877.0,6819.0,176283.0,7.981898007288956e-06,50153.0,0.0,0.0,147892.0,,40559.0,0.0,0.0,156306.0,
16001.0,892.0,6656.0,176451.0,1.8778874397273246e-07,50034.0,0.0,0.0,148052.0,,40466.0,0.0,0.0,156466.0,
15114.0,907.0,7425.0,176554.0,7.904014785052234e-06,49952.0,0.0,0.0,147915.0,,40404.0,0.0,0.0,156253.0,
15106.0,895.0,4740.0,179259.0,1.1172803608368653e-07,47939.0,0.0,0.0,150620.0,,38806.0,0.0,0.0,158955.0,
14677.0,437.0,5608.0,179278.0,5.212091040383913e-06,47926.0,0.0,0.0,150531.0,,38795.0,0.0,0.0,158794.0,
14668.0,438.0,5568.0,179326.0,1.1019766228148538e-07,47890.0,0.0,0.0,150575.0,,38768.0,0.0,0.0,158840.0,
14644.0,33.0,2221.0,183102.0,7.379092644631138e-07,45079.0,0.0,0.0,154346.0,,36524.0,0.0,0.0,162606.0,
14640.0,28.0,2225.0,183107.0,1.227973230183582e-07,45076.0,0.0,0.0,154350.0,,36520.0,0.0,0.0,162610.0,
14628.0,16.0,1377.0,183979.0,5.957476722649075e-07,44412.0,0.0,0.0,155219.0,,35998.0,0.0,0.0,163479.0,
14626.0,14.0,1361.0,183999.0,1.0047229009404508e-07,44400.0,0.0,0.0,155238.0,,35986.0,0.0,0.0,163497.0,
14625.0,3.0,486.0,184886.0,1.4069149871619008e-07,43753.0,0.0,0.0,156125.0,,35415.0,0.0,0.0,164384.0,
14605.0,21.0,480.0,184894.0,2.852904256533151e-06,43745.0,0.0,0.0,156130.0,,35410.0,0.0,0.0,164384.0,
14605.0,20.0,52.0,185323.0,-0.0,43424.0,0.0,0.0,156559.0,,35161.0,0.0,0.0,164813.0,
14605.0,0.0,63.0,185332.0,-0.0,43419.0,0.0,0.0,156568.0,,35154.0,0.0,0.0,164822.0,
14596.0,9.0,39.0,185356.0,1.5810443324830828e-05,43400.0,0.0,0.0,156591.0,,35140.0,0.0,0.0,164840.0,
14596.0,9.0,35.0,185360.0,-0.0,43397.0,0.0,0.0,156595.0,,35137.0,0.0,0.0,164844.0,
14596.0,0.0,32.0,185372.0,-0.0,43388.0,0.0,0.0,156607.0,,35128.0,0.0,0.0,164856.0,
14591.0,5.0,30.0,185374.0,1.1422566422223746e-05,43387.0,0.0,0.0,156607.0,,35128.0,0.0,0.0,164858.0,
14591.0,5.0,29.0,185375.0,-0.0,43386.0,0.0,0.0,156608.0,,35127.0,0.0,0.0,164859.0,
14590.0,1.0,14.0,185395.0,4.895721139723881e-06,43369.0,0.0,0.0,156628.0,,35115.0,0.0,0.0,164879.0,
14590.0,1.0,14.0,185395.0,-0.0,43369.0,0.0,0.0,156628.0,,35115.0,0.0,0.0,164879.0,
14588.0,2.0,15.0,185395.0,9.139932364500503e-06,43369.0,0.0,0.0,156628.0,,35115.0,0.0,0.0,164878.0,
14588.0,2.0,6.0,185404.0,-0.0,43361.0,0.0,0.0,156637.0,,35112.0,0.0,0.0,164887.0,
14588.0,0.0,8.0,185404.0,-0.0,43361.0,0.0,0.0,156637.0,,35112.0,0.0,0.0,164887.0,
14588.0,0.0,8.0,185404.0,-0.0,43361.0,0.0,0.0,156637.0,,35112.0,0.0,0.0,164887.0,
14588.0,0.0,3.0,185409.0,-0.0,43358.0,0.0,0.0,156642.0,,35107.0,0.0,0.0,164892.0,
14588.0,0.0,3.0,185409.0,-0.0,43358.0,0.0,0.0,156642.0,,35107.0,0.0,0.0,164892.0,
14588.0,0.0,2.0,185410.0,-0.0,43357.0,0.0,0.0,156643.0,,35106.0,0.0,0.0,164893.0,
14588.0,0.0,2.0,185410.0,-0.0,43357.0,0.0,0.0,156643.0,,35106.0,0.0,0.0,164893.0,
0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
