H1N1	H3N2	B
10	0	0
1	0	0
9	0	0
21	0	0
29	0	0
2	0	0
68	0	0
12	0	0
22	0	0
187	0	0
5	0	0
16	0	0
77	0	0
291	0	0
10	0	0
254	0	0
419	0	0
318	0	0
461	0	0
83	0	0
104	0	0
1323	0	0
31	0	0
704	0	0
4023	0	0
163	0	0
1091	0	0
4007	0	0
1712	0	0
321	0	0
5591	0	0
227	0	0
1665	0	0
5804	0	0
2231	0	0
17350	0	0
429	0	0
16695	0	0
646	0	0
14103	0	0
2068	0	0
3308	0	0
4119	0	0
5018	0	0
2238	0	0
1030	0	0
225	0	0
2204	0	0
756	0	0
1336	0	0
211	0	0
433	0	0
63	0	0
1919	0	0
117	0	0
1321	0	0
38	0	0
1443	0	0
194	0	0
37	0	0
52	0	0
924	0	0
19	0	0
68	0	0
928	0	0
12	0	0
255	0	0
1100	0	0
32	0	0
68	0	0
953	0	0
109	0	0
796	0	0
848	0	0
35	0	0
34	0	0
26	0	0
711	0	0
7	0	0
438	0	0
43	0	0
71	0	0
108	0	0
136	0	0
234	0	0
11	0	0
34	0	0
77	0	0
13	0	0
9	0	0
7	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
