H1N1	H3N2	B
42	0	0
42	0	0
91	0	0
106	0	0
224	0	0
229	0	0
387	0	0
463	0	0
690	0	0
737	0	0
1209	0	0
1384	0	0
1330	0	0
1866	0	0
2202	0	0
2346	0	0
2167	0	0
3229	0	0
3069	0	0
4793	0	0
5185	0	0
7559	0	0
9765	0	0
9747	0	0
14330	0	0
19310	0	0
19501	0	0
18128	0	0
24535	0	0
21913	0	0
31808	0	0
33002	0	0
37619	0	0
33128	0	0
37360	0	0
37361	0	0
31557	0	0
32302	0	0
20068	0	0
20355	0	0
11900	0	0
10549	0	0
8165	0	0
10632	0	0
9723	0	0
11061	0	0
11220	0	0
9693	0	0
14804	0	0
14667	0	0
14456	0	0
11603	0	0
12764	0	0
12920	0	0
13134	0	0
14137	0	0
9433	0	0
9437	0	0
7352	0	0
8408	0	0
7244	0	0
4973	0	0
5766	0	0
4632	0	0
4533	0	0
4785	0	0
5078	0	0
4004	0	0
5063	0	0
4822	0	0
3701	0	0
3709	0	0
2637	0	0
2289	0	0
1962	0	0
1845	0	0
644	0	0
753	0	0
353	0	0
327	0	0
271	0	0
304	0	0
235	0	0
220	0	0
241	0	0
127	0	0
121	0	0
177	0	0
177	0	0
126	0	0
128	0	0
124	0	0
99	0	0
84	0	0
81	0	0
18	0	0
13	0	0
19	0	0
24	0	0
22	0	0
22	0	0
22	0	0
15	0	0
19	0	0
19	0	0
14	0	0
8	0	0
8	0	0
15	0	0
16	0	0
16	0	0
13	0	0
14	0	0
17	0	0
16	0	0
21	0	0
13	0	0
25	0	0
28	0	0
29	0	0
35	0	0
32	0	0
51	0	0
46	0	0
48	0	0
35	0	0
32	0	0
33	0	0
26	0	0
29	0	0
12	0	0
12	0	0
22	0	0
22	0	0
22	0	0
35	0	0
35	0	0
37	0	0
34	0	0
36	0	0
24	0	0
29	0	0
30	0	0
14	0	0
17	0	0
13	0	0
16	0	0
17	0	0
25	0	0
20	0	0
19	0	0
28	0	0
25	0	0
25	0	0
23	0	0
22	0	0
15	0	0
15	0	0
19	0	0
10	0	0
11	0	0
13	0	0
12	0	0
10	0	0
12	0	0
13	0	0
9	0	0
10	0	0
9	0	0
6	0	0
7	0	0
7	0	0
4	0	0
3	0	0
5	0	0
4	0	0
4	0	0
4	0	0
3	0	0
3	0	0
3	0	0
5	0	0
3	0	0
3	0	0
5	0	0
4	0	0
5	0	0
5	0	0
5	0	0
3	0	0
3	0	0
4	0	0
2	0	0
2	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
