S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
155976.0	14.0	10.0	44000.0	6.411242755295686e-06	148000.0	0.0	0.0	51997.0	0.0	120000.0	0.0	0.0	79991.0	0.0
155969.0	21.0	10.0	44000.0	0.0	148000.0	0.0	0.0	51994.0	0.0	120000.0	0.0	0.0	79989.0	0.0
155967.0	9.0	24.0	44000.0	3.740107415884984e-06	148000.0	0.0	0.0	51993.0	0.0	120000.0	0.0	0.0	79989.0	0.0
155920.0	49.0	31.0	44000.0	1.448219930816465e-06	148000.0	0.0	0.0	51981.0	0.0	120000.0	0.0	0.0	79969.0	0.0
155910.0	57.0	33.0	44000.0	3.887246527231134e-07	148000.0	0.0	0.0	51976.0	0.0	120000.0	0.0	0.0	79965.0	0.0
155849.0	71.0	80.0	44000.0	3.7696744926178545e-06	148000.0	0.0	0.0	51958.0	0.0	120000.0	0.0	0.0	79935.0	0.0
155767.0	143.0	80.0	44010.0	8.024806281176373e-07	147991.0	0.0	0.0	51947.0	0.0	119995.0	0.0	0.0	79908.0	0.0
155754.0	95.0	141.0	44010.0	2.777611576429352e-06	147991.0	0.0	0.0	51945.0	0.0	119995.0	0.0	0.0	79903.0	0.0
155732.0	35.0	209.0	44024.0	2.5193569568724186e-06	147979.0	0.0	0.0	51953.0	0.0	119985.0	0.0	0.0	79909.0	0.0
155722.0	32.0	215.0	44031.0	3.882888498675188e-07	147975.0	0.0	0.0	51957.0	0.0	119980.0	0.0	0.0	79913.0	0.0
155685.0	47.0	235.0	44033.0	6.013233213000336e-07	147974.0	0.0	0.0	51948.0	0.0	119978.0	0.0	0.0	79903.0	0.0
155676.0	46.0	198.0	44080.0	3.2442412770787086e-07	147939.0	0.0	0.0	51993.0	0.0	119951.0	0.0	0.0	79949.0	0.0
155649.0	36.0	225.0	44090.0	1.0565081975755993e-06	147934.0	0.0	0.0	51998.0	0.0	119945.0	0.0	0.0	79948.0	0.0
155641.0	35.0	173.0	44151.0	3.342507526119932e-07	147891.0	0.0	0.0	52058.0	0.0	119914.0	0.0	0.0	80005.0	0.0
155634.0	15.0	118.0	44233.0	1.4702029076039548e-06	147830.0	0.0	0.0	52136.0	0.0	119869.0	0.0	0.0	80085.0	0.0
155633.0	8.0	113.0	44246.0	4.548936290953149e-07	147819.0	0.0	0.0	52149.0	0.0	119861.0	0.0	0.0	80098.0	0.0
