H1N1	H3N2	B
29	0	0
31	0	0
38	0	0
100	0	0
115	0	0
119	0	0
160	0	0
241	0	0
229	0	0
236	0	0
250	0	0
259	0	0
246	0	0
420	0	0
485	0	0
497	0	0
552	0	0
571	0	0
981	0	0
975	0	0
2103	0	0
2208	0	0
2171	0	0
3386	0	0
3383	0	0
7117	0	0
6864	0	0
8522	0	0
8117	0	0
8538	0	0
8970	0	0
8105	0	0
9219	0	0
5867	0	0
6625	0	0
6921	0	0
6366	0	0
9079	0	0
8778	0	0
10512	0	0
10697	0	0
16406	0	0
16387	0	0
16409	0	0
16534	0	0
13607	0	0
15359	0	0
16742	0	0
18892	0	0
14199	0	0
18256	0	0
16655	0	0
20316	0	0
22059	0	0
20526	0	0
25304	0	0
22267	0	0
35486	0	0
36157	0	0
36350	0	0
47238	0	0
45315	0	0
46393	0	0
39727	0	0
40565	0	0
30710	0	0
25224	0	0
28888	0	0
14143	0	0
15286	0	0
13895	0	0
12768	0	0
11885	0	0
7481	0	0
7517	0	0
3797	0	0
3713	0	0
2952	0	0
3105	0	0
2606	0	0
2203	0	0
1875	0	0
1686	0	0
1134	0	0
1122	0	0
439	0	0
171	0	0
146	0	0
128	0	0
70	0	0
65	0	0
41	0	0
38	0	0
29	0	0
28	0	0
8	0	0
3	0	0
3	0	0
2	0	0
1	0	0
1	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
