S_H1N1,E_H1N1,I_H1N1,R_H1N1,beta_H1N1,S_H3N2,E_H3N2,I_H3N2,R_H3N2,beta_H3N2,S_B,E_B,I_B,R_B,beta_B
155957.0,33.0,10.0,44000.0,-0.0,148000.0,0.0,0.0,51992.0,0.0,120000.0,0.0,0.0,79984.0,0.0
155950.0,40.0,10.0,44000.0,4.488618146841936e-06,148000.0,0.0,0.0,51989.0,0.0,120000.0,0.0,0.0,79981.0,0.0
155920.0,37.0,43.0,44000.0,4.474566563652201e-06,148000.0,0.0,0.0,51983.0,0.0,120000.0,0.0,0.0,79970.0,0.0
155914.0,36.0,50.0,44000.0,7.696550662544737e-07,148000.0,0.0,0.0,51982.0,0.0,120000.0,0.0,0.0,79967.0,0.0
155840.0,80.0,80.0,44000.0,5.9355749486652975e-06,148000.0,0.0,0.0,51961.0,0.0,120000.0,0.0,0.0,79936.0,0.0
155809.0,105.0,86.0,44000.0,2.3135063846059583e-06,148000.0,0.0,0.0,51954.0,0.0,120000.0,0.0,0.0,79924.0,0.0
155795.0,45.0,150.0,44010.0,5.990778480267873e-07,147991.0,0.0,0.0,51961.0,0.0,119994.0,0.0,0.0,79929.0,0.0
155698.0,111.0,181.0,44010.0,3.4419941310096776e-06,147991.0,0.0,0.0,51940.0,0.0,119994.0,0.0,0.0,79891.0,0.0
155695.0,100.0,162.0,44043.0,1.1894099693964814e-07,147965.0,0.0,0.0,51972.0,0.0,119973.0,0.0,0.0,79923.0,0.0
155681.0,17.0,252.0,44050.0,3.5685507901128303e-07,147961.0,0.0,0.0,51973.0,0.0,119969.0,0.0,0.0,79922.0,0.0
155495.0,200.0,225.0,44080.0,5.316355295454302e-06,147937.0,0.0,0.0,51953.0,0.0,119950.0,0.0,0.0,79875.0,0.0
155481.0,200.0,233.0,44086.0,3.8645131501515456e-07,147932.0,0.0,0.0,51957.0,0.0,119947.0,0.0,0.0,79876.0,0.0
155384.0,111.0,345.0,44160.0,1.809448979881166e-06,147879.0,0.0,0.0,52002.0,0.0,119904.0,0.0,0.0,79910.0,0.0
155368.0,113.0,328.0,44191.0,3.1396740515986594e-07,147855.0,0.0,0.0,52028.0,0.0,119885.0,0.0,0.0,79936.0,0.0
155347.0,37.0,411.0,44205.0,3.289081251066896e-07,147844.0,0.0,0.0,52038.0,0.0,119876.0,0.0,0.0,79939.0,0.0
155325.0,43.0,330.0,44302.0,4.292075755137078e-07,147768.0,0.0,0.0,52129.0,0.0,119817.0,0.0,0.0,80027.0,0.0
155281.0,66.0,348.0,44305.0,8.142450242411847e-07,147766.0,0.0,0.0,52116.0,0.0,119815.0,0.0,0.0,80010.0,0.0
155234.0,91.0,356.0,44319.0,8.504739419850829e-07,147758.0,0.0,0.0,52126.0,0.0,119809.0,0.0,0.0,80005.0,0.0
155092.0,189.0,214.0,44505.0,4.2784373266780936e-06,147622.0,0.0,0.0,52271.0,0.0,119700.0,0.0,0.0,80134.0,0.0
155011.0,223.0,247.0,44519.0,2.115560977427826e-06,147610.0,0.0,0.0,52264.0,0.0,119691.0,0.0,0.0,80117.0,0.0
154766.0,326.0,292.0,44616.0,5.421352854570196e-06,147542.0,0.0,0.0,52294.0,0.0,119634.0,0.0,0.0,80118.0,0.0
154457.0,554.0,357.0,44632.0,5.603800530163055e-06,147531.0,0.0,0.0,52225.0,0.0,119623.0,0.0,0.0,80020.0,0.0
154224.0,542.0,581.0,44653.0,2.6003261634863672e-06,147514.0,0.0,0.0,52189.0,0.0,119613.0,0.0,0.0,79938.0,0.0
153647.0,810.0,868.0,44675.0,4.326453128136585e-06,147498.0,0.0,0.0,52072.0,0.0,119600.0,0.0,0.0,79733.0,0.0
153184.0,1040.0,1057.0,44719.0,2.859516441070789e-06,147470.0,0.0,0.0,52009.0,0.0,119576.0,0.0,0.0,79591.0,0.0
153134.0,513.0,1587.0,44766.0,2.0574128630719566e-07,147427.0,0.0,0.0,52047.0,0.0,119548.0,0.0,0.0,79623.0,0.0
152018.0,1166.0,1908.0,44908.0,3.847607917334516e-06,147326.0,0.0,0.0,51883.0,0.0,119463.0,0.0,0.0,79317.0,0.0
